all whole.n.02 object.n.01, no object.n.01 substance.n.04: no whole.n.02 substance.n.04; some whole.n.02 substance.n.04
all illustrator.n.01 creator.n.02, no creator.n.02 groaner.n.01: no illustrator.n.01 groaner.n.01; some illustrator.n.01 groaner.n.01
all mechanical_device.n.01 artifact.n.01, no artifact.n.01 assembly.n.05: no mechanical_device.n.01 assembly.n.05; some mechanical_device.n.01 assembly.n.05
all archbishop.n.01 bishop.n.01, no bishop.n.01 pontifex.n.01: no archbishop.n.01 pontifex.n.01; some archbishop.n.01 pontifex.n.01
all geographic_point.n.01 location.n.01, no location.n.01 fomite.n.01: no geographic_point.n.01 fomite.n.01; some geographic_point.n.01 fomite.n.01
all whole.n.02 object.n.01, no object.n.01 substance.n.04: no whole.n.02 substance.n.04; some whole.n.02 substance.n.04
all spiritual_being.n.01 belief.n.01, no belief.n.01 unbelief.n.01: no spiritual_being.n.01 unbelief.n.01; some spiritual_being.n.01 unbelief.n.01
all quality.n.01 attribute.n.02, no attribute.n.02 relation.n.01: no quality.n.01 relation.n.01; some quality.n.01 relation.n.01
all deer.n.01 whole.n.02, no whole.n.02 charm.n.03: no deer.n.01 charm.n.03; some deer.n.01 charm.n.03
all artifact.n.01 object.n.01, no object.n.01 substance.n.04: no artifact.n.01 substance.n.04; some artifact.n.01 substance.n.04
all covering.n.02 whole.n.02, no whole.n.02 catch.n.04: no covering.n.02 catch.n.04; some covering.n.02 catch.n.04
all instrumentality.n.03 whole.n.02, no whole.n.02 geological_formation.n.01: no instrumentality.n.03 geological_formation.n.01; some instrumentality.n.03 geological_formation.n.01
all representation.n.02 artifact.n.01, no artifact.n.01 living_thing.n.01: no representation.n.02 living_thing.n.01; some representation.n.02 living_thing.n.01
all departure.n.01 act.n.02, no act.n.02 miracle.n.02: no departure.n.01 miracle.n.02; some departure.n.01 miracle.n.02
all extremity.n.05 thing.n.12, no thing.n.12 substance.n.04: no extremity.n.05 substance.n.04; some extremity.n.05 substance.n.04
all saxon.n.01 european.n.01, no european.n.01 american.n.01: no saxon.n.01 american.n.01; some saxon.n.01 american.n.01
all county.n.01 location.n.01, no location.n.01 neighbor.n.02: no county.n.01 neighbor.n.02; some county.n.01 neighbor.n.02
all compound.n.02 chemical.n.01, no chemical.n.01 packing_material.n.01: no compound.n.02 packing_material.n.01; some compound.n.02 packing_material.n.01
all polymer.n.01 material.n.01, no material.n.01 chemical_element.n.01: no polymer.n.01 chemical_element.n.01; some polymer.n.01 chemical_element.n.01
all poetess.n.01 writer.n.01, no writer.n.01 signaler.n.01: no poetess.n.01 signaler.n.01; some poetess.n.01 signaler.n.01
all reproductive_structure.n.01 whole.n.02, no whole.n.02 fomite.n.01: no reproductive_structure.n.01 fomite.n.01; some reproductive_structure.n.01 fomite.n.01
all occupation.n.01 activity.n.01, no activity.n.01 equalization.n.01: no occupation.n.01 equalization.n.01; some occupation.n.01 equalization.n.01
all natural_object.n.01 whole.n.02, no whole.n.02 paring.n.02: no natural_object.n.01 paring.n.02; some natural_object.n.01 paring.n.02
all cutting_implement.n.01 whole.n.02, no whole.n.02 growth.n.07: no cutting_implement.n.01 growth.n.07; some cutting_implement.n.01 growth.n.07
all assistant.n.01 worker.n.01, no worker.n.01 survivalist.n.01: no assistant.n.01 survivalist.n.01; some assistant.n.01 survivalist.n.01
all place_of_business.n.01 object.n.01, no object.n.01 substance.n.04: no place_of_business.n.01 substance.n.04; some place_of_business.n.01 substance.n.04
all instrumentality.n.03 artifact.n.01, no artifact.n.01 living_thing.n.01: no instrumentality.n.03 living_thing.n.01; some instrumentality.n.03 living_thing.n.01
all adverb.n.02 part.n.01, no part.n.01 kinship.n.02: no adverb.n.02 kinship.n.02; some adverb.n.02 kinship.n.02
all living_thing.n.01 whole.n.02, no whole.n.02 growth.n.07: no living_thing.n.01 growth.n.07; some living_thing.n.01 growth.n.07
all creation.n.02 artifact.n.01, no artifact.n.01 living_thing.n.01: no creation.n.02 living_thing.n.01; some creation.n.02 living_thing.n.01
all writer.n.01 communicator.n.01, no communicator.n.01 coward.n.01: no writer.n.01 coward.n.01; some writer.n.01 coward.n.01
all truck.n.01 whole.n.02, no whole.n.02 remains.n.01: no truck.n.01 remains.n.01; some truck.n.01 remains.n.01
all device.n.01 artifact.n.01, no artifact.n.01 assembly.n.05: no device.n.01 assembly.n.05; some device.n.01 assembly.n.05
all originator.n.01 creator.n.02, no creator.n.02 wiggler.n.01: no originator.n.01 wiggler.n.01; some originator.n.01 wiggler.n.01
all organic_compound.n.01 compound.n.02, no compound.n.02 soil_conditioner.n.01: no organic_compound.n.01 soil_conditioner.n.01; some organic_compound.n.01 soil_conditioner.n.01
all point.n.02 object.n.01, no object.n.01 substance.n.04: no point.n.02 substance.n.04; some point.n.02 substance.n.04
all location.n.01 object.n.01, no object.n.01 causal_agent.n.01: no location.n.01 causal_agent.n.01; some location.n.01 causal_agent.n.01
all organic_compound.n.01 chemical.n.01, no chemical.n.01 plant_material.n.01: no organic_compound.n.01 plant_material.n.01; some organic_compound.n.01 plant_material.n.01
all pool.n.01 object.n.01, no object.n.01 substance.n.04: no pool.n.01 substance.n.04; some pool.n.01 substance.n.04
all nitrate.n.01 material.n.01, no material.n.01 body_substance.n.01: no nitrate.n.01 body_substance.n.01; some nitrate.n.01 body_substance.n.01
all vessel.n.03 instrumentality.n.03, no instrumentality.n.03 square.n.07: no vessel.n.03 square.n.07; some vessel.n.03 square.n.07
all written_communication.n.01 communication.n.02, no communication.n.02 otherworld.n.01: no written_communication.n.01 otherworld.n.01; some written_communication.n.01 otherworld.n.01
all olivine.n.01 mineral.n.01, no mineral.n.01 hazmat.n.01: no olivine.n.01 hazmat.n.01; some olivine.n.01 hazmat.n.01
all skin_disease.n.01 disease.n.01, no disease.n.01 ague.n.01: no skin_disease.n.01 ague.n.01; some skin_disease.n.01 ague.n.01
all housing.n.01 artifact.n.01, no artifact.n.01 natural_object.n.01: no housing.n.01 natural_object.n.01; some housing.n.01 natural_object.n.01
all language.n.01 communication.n.02, no communication.n.02 relation.n.01: no language.n.01 relation.n.01; some language.n.01 relation.n.01
all solid.n.03 shape.n.02, no shape.n.02 quality.n.01: no solid.n.03 quality.n.01; some solid.n.03 quality.n.01
all town.n.01 municipality.n.01, no municipality.n.01 zone_of_interior.n.01: no town.n.01 zone_of_interior.n.01; some town.n.01 zone_of_interior.n.01
all writer.n.01 communicator.n.01, no communicator.n.01 posturer.n.01: no writer.n.01 posturer.n.01; some writer.n.01 posturer.n.01
all bin.n.01 instrumentality.n.03, no instrumentality.n.03 creation.n.02: no bin.n.01 creation.n.02; some bin.n.01 creation.n.02
all seed.n.01 fruit.n.01, no fruit.n.01 sporocarp.n.01: no seed.n.01 sporocarp.n.01; some seed.n.01 sporocarp.n.01
all instrumentality.n.03 whole.n.02, no whole.n.02 geological_formation.n.01: no instrumentality.n.03 geological_formation.n.01; some instrumentality.n.03 geological_formation.n.01
all depository.n.01 object.n.01, no object.n.01 substance.n.04: no depository.n.01 substance.n.04; some depository.n.01 substance.n.04
all weapon.n.01 whole.n.02, no whole.n.02 film.n.04: no weapon.n.01 film.n.04; some weapon.n.01 film.n.04
all sensitivity.n.04 condition.n.01, no condition.n.01 wild.n.01: no sensitivity.n.04 wild.n.01; some sensitivity.n.04 wild.n.01
all pimple.n.01 acne.n.01, no acne.n.01 respiratory_disease.n.01: no pimple.n.01 respiratory_disease.n.01; some pimple.n.01 respiratory_disease.n.01
all refusal.n.02 communication.n.02, no communication.n.02 relation.n.01: no refusal.n.02 relation.n.01; some refusal.n.02 relation.n.01
all excavation.n.03 artifact.n.01, no artifact.n.01 congener.n.03: no excavation.n.03 congener.n.03; some excavation.n.03 congener.n.03
all sport.n.01 act.n.02, no act.n.02 miracle.n.02: no sport.n.01 miracle.n.02; some sport.n.01 miracle.n.02
all house.n.01 artifact.n.01, no artifact.n.01 assembly.n.05: no house.n.01 assembly.n.05; some house.n.01 assembly.n.05
all work.n.01 activity.n.01, no activity.n.01 group_action.n.01: no work.n.01 group_action.n.01; some work.n.01 group_action.n.01
all message.n.02 communication.n.02, no communication.n.02 relation.n.01: no message.n.02 relation.n.01; some message.n.02 relation.n.01
all phenomenon.n.01 process.n.06, no process.n.06 causal_agent.n.01: no phenomenon.n.01 causal_agent.n.01; some phenomenon.n.01 causal_agent.n.01
all drug.n.01 agent.n.03, no agent.n.03 causal_agent.n.01: no drug.n.01 causal_agent.n.01; some drug.n.01 causal_agent.n.01
all truck.n.01 object.n.01, no object.n.01 substance.n.04: no truck.n.01 substance.n.04; some truck.n.01 substance.n.04
all mineral.n.01 material.n.01, no material.n.01 volatile.n.01: no mineral.n.01 volatile.n.01; some mineral.n.01 volatile.n.01
all sensory_activity.n.01 activity.n.01, no activity.n.01 waste.n.05: no sensory_activity.n.01 waste.n.05; some sensory_activity.n.01 waste.n.05
all artifact.n.01 object.n.01, no object.n.01 causal_agent.n.01: no artifact.n.01 causal_agent.n.01; some artifact.n.01 causal_agent.n.01
all depression.n.04 attribute.n.02, no attribute.n.02 otherworld.n.01: no depression.n.04 otherworld.n.01; some depression.n.04 otherworld.n.01
all anomaly.n.01 condition.n.01, no condition.n.01 representation.n.04: no anomaly.n.01 representation.n.04; some anomaly.n.01 representation.n.04
all artifact.n.01 whole.n.02, no whole.n.02 wall.n.02: no artifact.n.01 wall.n.02; some artifact.n.01 wall.n.02
all defensive_structure.n.01 artifact.n.01, no artifact.n.01 item.n.03: no defensive_structure.n.01 item.n.03; some defensive_structure.n.01 item.n.03
all storehouse.n.01 artifact.n.01, no artifact.n.01 assembly.n.05: no storehouse.n.01 assembly.n.05; some storehouse.n.01 assembly.n.05
all model.n.01 idea.n.01, no idea.n.01 food.n.03: no model.n.01 food.n.03; some model.n.01 food.n.03
all drug.n.01 agent.n.03, no agent.n.03 substance.n.04: no drug.n.01 substance.n.04; some drug.n.01 substance.n.04
all artifact.n.01 object.n.01, no object.n.01 causal_agent.n.01: no artifact.n.01 causal_agent.n.01; some artifact.n.01 causal_agent.n.01
all pollutant.n.01 waste.n.01, no waste.n.01 transparent_substance.n.01: no pollutant.n.01 transparent_substance.n.01; some pollutant.n.01 transparent_substance.n.01
all organic_process.n.01 process.n.06, no process.n.06 substance.n.04: no organic_process.n.01 substance.n.04; some organic_process.n.01 substance.n.04
all nonfiction.n.01 communication.n.02, no communication.n.02 psychological_feature.n.01: no nonfiction.n.01 psychological_feature.n.01; some nonfiction.n.01 psychological_feature.n.01
all structure.n.01 object.n.01, no object.n.01 causal_agent.n.01: no structure.n.01 causal_agent.n.01; some structure.n.01 causal_agent.n.01
all structure.n.01 object.n.01, no object.n.01 causal_agent.n.01: no structure.n.01 causal_agent.n.01; some structure.n.01 causal_agent.n.01
all fuel.n.01 matter.n.03, no matter.n.03 substance.n.04: no fuel.n.01 substance.n.04; some fuel.n.01 substance.n.04
all anesthetic.n.01 drug.n.01, no drug.n.01 antacid.n.01: no anesthetic.n.01 antacid.n.01; some anesthetic.n.01 antacid.n.01
all male.n.01 object.n.01, no object.n.01 causal_agent.n.01: no male.n.01 causal_agent.n.01; some male.n.01 causal_agent.n.01
all definite_quantity.n.01 measure.n.02, no measure.n.02 psychological_feature.n.01: no definite_quantity.n.01 psychological_feature.n.01; some definite_quantity.n.01 psychological_feature.n.01
all establishment.n.04 artifact.n.01, no artifact.n.01 natural_object.n.01: no establishment.n.04 natural_object.n.01; some establishment.n.04 natural_object.n.01
all component.n.03 part.n.02, no part.n.02 property.n.05: no component.n.03 property.n.05; some component.n.03 property.n.05
all protoctist.n.01 object.n.01, no object.n.01 causal_agent.n.01: no protoctist.n.01 causal_agent.n.01; some protoctist.n.01 causal_agent.n.01
all garment.n.01 whole.n.02, no whole.n.02 floater.n.07: no garment.n.01 floater.n.07; some garment.n.01 floater.n.07
all excavation.n.03 whole.n.02, no whole.n.02 web.n.01: no excavation.n.03 web.n.01; some excavation.n.03 web.n.01
all art.n.01 whole.n.02, no whole.n.02 discard.n.01: no art.n.01 discard.n.01; some art.n.01 discard.n.01
all antiquity.n.03 object.n.01, no object.n.01 causal_agent.n.01: no antiquity.n.03 causal_agent.n.01; some antiquity.n.03 causal_agent.n.01
all peripheral.n.01 equipment.n.01, no equipment.n.01 means.n.02: no peripheral.n.01 means.n.02; some peripheral.n.01 means.n.02
all building_complex.n.01 object.n.01, no object.n.01 causal_agent.n.01: no building_complex.n.01 causal_agent.n.01; some building_complex.n.01 causal_agent.n.01
all dwelling.n.01 whole.n.02, no whole.n.02 growth.n.07: no dwelling.n.01 growth.n.07; some dwelling.n.01 growth.n.07
all instrumentality.n.03 artifact.n.01, no artifact.n.01 congener.n.03: no instrumentality.n.03 congener.n.03; some instrumentality.n.03 congener.n.03
all shoshone.n.01 indian.n.01, no indian.n.01 south_american_indian.n.01: no shoshone.n.01 south_american_indian.n.01; some shoshone.n.01 south_american_indian.n.01
all disgust.n.01 attribute.n.02, no attribute.n.02 relation.n.01: no disgust.n.01 relation.n.01; some disgust.n.01 relation.n.01
all implement.n.01 object.n.01, no object.n.01 causal_agent.n.01: no implement.n.01 causal_agent.n.01; some implement.n.01 causal_agent.n.01
all device.n.01 instrumentality.n.03, no instrumentality.n.03 marker.n.01: no device.n.01 marker.n.01; some device.n.01 marker.n.01
all artifact.n.01 object.n.01, no object.n.01 causal_agent.n.01: no artifact.n.01 causal_agent.n.01; some artifact.n.01 causal_agent.n.01
all compound.n.02 chemical.n.01, no chemical.n.01 vernix.n.01: no compound.n.02 vernix.n.01; some compound.n.02 vernix.n.01
all living_thing.n.01 object.n.01, no object.n.01 substance.n.04: no living_thing.n.01 substance.n.04; some living_thing.n.01 substance.n.04
all social_group.n.01 group.n.01, no group.n.01 relation.n.01: no social_group.n.01 relation.n.01; some social_group.n.01 relation.n.01
all instrumentality.n.03 object.n.01, no object.n.01 substance.n.04: no instrumentality.n.03 substance.n.04; some instrumentality.n.03 substance.n.04
all shape.n.02 attribute.n.02, no attribute.n.02 relation.n.01: no shape.n.02 relation.n.01; some shape.n.02 relation.n.01
all orator.n.01 speaker.n.01, no speaker.n.01 subvocalizer.n.01: no orator.n.01 subvocalizer.n.01; some orator.n.01 subvocalizer.n.01
all animal.n.01 whole.n.02, no whole.n.02 triviality.n.03: no animal.n.01 triviality.n.03; some animal.n.01 triviality.n.03
all hominid.n.01 organism.n.01, no organism.n.01 life.n.10: no hominid.n.01 life.n.10; some hominid.n.01 life.n.10
all determination.n.01 act.n.02, no act.n.02 makeup.n.02: no determination.n.01 makeup.n.02; some determination.n.01 makeup.n.02
all artifact.n.01 object.n.01, no object.n.01 causal_agent.n.01: no artifact.n.01 causal_agent.n.01; some artifact.n.01 causal_agent.n.01
all spiritual_leader.n.01 leader.n.01, no leader.n.01 handicapped_person.n.01: no spiritual_leader.n.01 handicapped_person.n.01; some spiritual_leader.n.01 handicapped_person.n.01
all creation.n.02 artifact.n.01, no artifact.n.01 sum.n.05: no creation.n.02 sum.n.05; some creation.n.02 sum.n.05
all producer.n.02 creator.n.02, no creator.n.02 biter.n.01: no producer.n.02 biter.n.01; some producer.n.02 biter.n.01
all activity.n.01 act.n.02, no act.n.02 nonevent.n.01: no activity.n.01 nonevent.n.01; some activity.n.01 nonevent.n.01
all whole.n.02 object.n.01, no object.n.01 causal_agent.n.01: no whole.n.02 causal_agent.n.01; some whole.n.02 causal_agent.n.01
all speaker.n.01 communicator.n.01, no communicator.n.01 romper.n.01: no speaker.n.01 romper.n.01; some speaker.n.01 romper.n.01
all polymer.n.01 material.n.01, no material.n.01 element.n.05: no polymer.n.01 element.n.05; some polymer.n.01 element.n.05
all brace.n.09 instrumentality.n.03, no instrumentality.n.03 electroplate.n.01: no brace.n.09 electroplate.n.01; some brace.n.09 electroplate.n.01
all organism.n.01 object.n.01, no object.n.01 causal_agent.n.01: no organism.n.01 causal_agent.n.01; some organism.n.01 causal_agent.n.01
all artifact.n.01 object.n.01, no object.n.01 causal_agent.n.01: no artifact.n.01 causal_agent.n.01; some artifact.n.01 causal_agent.n.01
all organism.n.01 whole.n.02, no whole.n.02 hoodoo.n.04: no organism.n.01 hoodoo.n.04; some organism.n.01 hoodoo.n.04
all change.n.03 act.n.02, no act.n.02 migration.n.03: no change.n.03 migration.n.03; some change.n.03 migration.n.03
all journalist.n.01 writer.n.01, no writer.n.01 rambler.n.02: no journalist.n.01 rambler.n.02; some journalist.n.01 rambler.n.02
all equine.n.01 organism.n.01, no organism.n.01 life.n.10: no equine.n.01 life.n.10; some equine.n.01 life.n.10
all whole.n.02 object.n.01, no object.n.01 substance.n.04: no whole.n.02 substance.n.04; some whole.n.02 substance.n.04
all area.n.05 object.n.01, no object.n.01 substance.n.04: no area.n.05 substance.n.04; some area.n.05 substance.n.04
all compound.n.02 material.n.01, no material.n.01 medium.n.06: no compound.n.02 medium.n.06; some compound.n.02 medium.n.06
all equipment.n.01 whole.n.02, no whole.n.02 neighbor.n.02: no equipment.n.01 neighbor.n.02; some equipment.n.01 neighbor.n.02
all propulsion.n.02 act.n.02, no act.n.02 miracle.n.02: no propulsion.n.02 miracle.n.02; some propulsion.n.02 miracle.n.02
all nut.n.01 fruit.n.01, no fruit.n.01 agamete.n.01: no nut.n.01 agamete.n.01; some nut.n.01 agamete.n.01
all structure.n.01 whole.n.02, no whole.n.02 keepsake.n.01: no structure.n.01 keepsake.n.01; some structure.n.01 keepsake.n.01
all area.n.01 region.n.03, no region.n.03 whereabouts.n.01: no area.n.01 whereabouts.n.01; some area.n.01 whereabouts.n.01
all disrespect.n.01 communication.n.02, no communication.n.02 relation.n.01: no disrespect.n.01 relation.n.01; some disrespect.n.01 relation.n.01
all point.n.02 object.n.01, no object.n.01 substance.n.04: no point.n.02 substance.n.04; some point.n.02 substance.n.04
all covering.n.02 artifact.n.01, no artifact.n.01 assembly.n.05: no covering.n.02 assembly.n.05; some covering.n.02 assembly.n.05
all kindness.n.01 attribute.n.02, no attribute.n.02 relation.n.01: no kindness.n.01 relation.n.01; some kindness.n.01 relation.n.01
all sheet.n.06 whole.n.02, no whole.n.02 remains.n.01: no sheet.n.06 remains.n.01; some sheet.n.06 remains.n.01
all flavorer.n.01 matter.n.03, no matter.n.03 substance.n.04: no flavorer.n.01 substance.n.04; some flavorer.n.01 substance.n.04
all action.n.01 act.n.02, no act.n.02 social_event.n.01: no action.n.01 social_event.n.01; some action.n.01 social_event.n.01
all natural_object.n.01 whole.n.02, no whole.n.02 remains.n.01: no natural_object.n.01 remains.n.01; some natural_object.n.01 remains.n.01
all emperor.n.01 sovereign.n.01, no sovereign.n.01 native.n.01: no emperor.n.01 native.n.01; some emperor.n.01 native.n.01
all specialist.n.02 doctor.n.01, no doctor.n.01 dentist.n.01: no specialist.n.02 dentist.n.01; some specialist.n.02 dentist.n.01
all horse.n.01 organism.n.01, no organism.n.01 life.n.10: no horse.n.01 life.n.10; some horse.n.01 life.n.10
all drug.n.01 agent.n.03, no agent.n.03 substance.n.04: no drug.n.01 substance.n.04; some drug.n.01 substance.n.04
all artifact.n.01 whole.n.02, no whole.n.02 draw.n.04: no artifact.n.01 draw.n.04; some artifact.n.01 draw.n.04
all artifact.n.01 whole.n.02, no whole.n.02 curio.n.01: no artifact.n.01 curio.n.01; some artifact.n.01 curio.n.01
all analysis.n.01 act.n.02, no act.n.02 zap.n.01: no analysis.n.01 zap.n.01; some analysis.n.01 zap.n.01
all analgesic.n.01 medicine.n.02, no medicine.n.02 feosol.n.01: no analgesic.n.01 feosol.n.01; some analgesic.n.01 feosol.n.01
all bodily_process.n.01 process.n.06, no process.n.06 causal_agent.n.01: no bodily_process.n.01 causal_agent.n.01; some bodily_process.n.01 causal_agent.n.01
all speaker.n.01 communicator.n.01, no communicator.n.01 occultist.n.01: no speaker.n.01 occultist.n.01; some speaker.n.01 occultist.n.01
all state.n.02 attribute.n.02, no attribute.n.02 relation.n.01: no state.n.02 relation.n.01; some state.n.02 relation.n.01
all bacteriologist.n.01 biologist.n.01, no biologist.n.01 cosmographer.n.01: no bacteriologist.n.01 cosmographer.n.01; some bacteriologist.n.01 cosmographer.n.01
all tranquilizer.n.01 drug.n.01, no drug.n.01 mitogen.n.01: no tranquilizer.n.01 mitogen.n.01; some tranquilizer.n.01 mitogen.n.01
all politician.n.02 leader.n.01, no leader.n.01 survivalist.n.01: no politician.n.02 survivalist.n.01; some politician.n.02 survivalist.n.01
all container.n.01 object.n.01, no object.n.01 substance.n.04: no container.n.01 substance.n.04; some container.n.01 substance.n.04
all protestant.n.01 christian.n.01, no christian.n.01 pagan.n.02: no protestant.n.01 pagan.n.02; some protestant.n.01 pagan.n.02
all solvent.n.01 medium.n.07, no medium.n.07 element.n.05: no solvent.n.01 element.n.05; some solvent.n.01 element.n.05
all structure.n.01 whole.n.02, no whole.n.02 vagabond.n.01: no structure.n.01 vagabond.n.01; some structure.n.01 vagabond.n.01
all commitment.n.04 message.n.02, no message.n.02 paralanguage.n.01: no commitment.n.04 paralanguage.n.01; some commitment.n.04 paralanguage.n.01
all electronic_equipment.n.01 whole.n.02, no whole.n.02 discard.n.01: no electronic_equipment.n.01 discard.n.01; some electronic_equipment.n.01 discard.n.01
all unit.n.05 thing.n.12, no thing.n.12 substance.n.04: no unit.n.05 substance.n.04; some unit.n.05 substance.n.04
all negotiator.n.01 communicator.n.01, no communicator.n.01 admirer.n.02: no negotiator.n.01 admirer.n.02; some negotiator.n.01 admirer.n.02
all string.n.05 group.n.01, no group.n.01 psychological_feature.n.01: no string.n.05 psychological_feature.n.01; some string.n.05 psychological_feature.n.01
all artifact.n.01 whole.n.02, no whole.n.02 wall.n.02: no artifact.n.01 wall.n.02; some artifact.n.01 wall.n.02
all educator.n.01 adult.n.01, no adult.n.01 scorpio.n.01: no educator.n.01 scorpio.n.01; some educator.n.01 scorpio.n.01
all onondaga.n.01 iroquois.n.01, no iroquois.n.01 salish.n.02: no onondaga.n.01 salish.n.02; some onondaga.n.01 salish.n.02
all signal.n.01 communication.n.02, no communication.n.02 otherworld.n.01: no signal.n.01 otherworld.n.01; some signal.n.01 otherworld.n.01
all correctional_institution.n.01 establishment.n.04, no establishment.n.04 catchment.n.01: no correctional_institution.n.01 catchment.n.01; some correctional_institution.n.01 catchment.n.01
all vascular_plant.n.01 whole.n.02, no whole.n.02 shiner.n.02: no vascular_plant.n.01 shiner.n.02; some vascular_plant.n.01 shiner.n.02
all house.n.01 artifact.n.01, no artifact.n.01 item.n.03: no house.n.01 item.n.03; some house.n.01 item.n.03
all organic_compound.n.01 compound.n.02, no compound.n.02 phytochemical.n.01: no organic_compound.n.01 phytochemical.n.01; some organic_compound.n.01 phytochemical.n.01
all instrumentality.n.03 object.n.01, no object.n.01 substance.n.04: no instrumentality.n.03 substance.n.04; some instrumentality.n.03 substance.n.04
all connection.n.03 whole.n.02, no whole.n.02 curio.n.01: no connection.n.03 curio.n.01; some connection.n.03 curio.n.01
all creation.n.02 whole.n.02, no whole.n.02 floater.n.07: no creation.n.02 floater.n.07; some creation.n.02 floater.n.07
all brace.n.09 instrumentality.n.03, no instrumentality.n.03 opening.n.10: no brace.n.09 opening.n.10; some brace.n.09 opening.n.10
all alarm.n.03 communication.n.02, no communication.n.02 otherworld.n.01: no alarm.n.03 otherworld.n.01; some alarm.n.03 otherworld.n.01
all device.n.01 instrumentality.n.03, no instrumentality.n.03 anachronism.n.02: no device.n.01 anachronism.n.02; some device.n.01 anachronism.n.02
all state.n.02 attribute.n.02, no attribute.n.02 psychological_feature.n.01: no state.n.02 psychological_feature.n.01; some state.n.02 psychological_feature.n.01
all chemical.n.01 material.n.01, no material.n.01 chemical_element.n.01: no chemical.n.01 chemical_element.n.01; some chemical.n.01 chemical_element.n.01
all whole.n.02 object.n.01, no object.n.01 causal_agent.n.01: no whole.n.02 causal_agent.n.01; some whole.n.02 causal_agent.n.01
all quality.n.01 attribute.n.02, no attribute.n.02 otherworld.n.01: no quality.n.01 otherworld.n.01; some quality.n.01 otherworld.n.01
all aliphatic_compound.n.01 material.n.01, no material.n.01 body_substance.n.01: no aliphatic_compound.n.01 body_substance.n.01; some aliphatic_compound.n.01 body_substance.n.01
all organic_compound.n.01 material.n.01, no material.n.01 essence.n.02: no organic_compound.n.01 essence.n.02; some organic_compound.n.01 essence.n.02
all feldspar.n.01 material.n.01, no material.n.01 activator.n.01: no feldspar.n.01 activator.n.01; some feldspar.n.01 activator.n.01
all defender.n.01 preserver.n.03, no preserver.n.03 entertainer.n.01: no defender.n.01 entertainer.n.01; some defender.n.01 entertainer.n.01
all organic_process.n.01 process.n.06, no process.n.06 causal_agent.n.01: no organic_process.n.01 causal_agent.n.01; some organic_process.n.01 causal_agent.n.01
all physical_condition.n.01 attribute.n.02, no attribute.n.02 otherworld.n.01: no physical_condition.n.01 otherworld.n.01; some physical_condition.n.01 otherworld.n.01
all sculptor.n.01 artist.n.01, no artist.n.01 modeler.n.01: no sculptor.n.01 modeler.n.01; some sculptor.n.01 modeler.n.01
all insect.n.01 object.n.01, no object.n.01 substance.n.04: no insect.n.01 substance.n.04; some insect.n.01 substance.n.04
all creation.n.02 artifact.n.01, no artifact.n.01 natural_object.n.01: no creation.n.02 natural_object.n.01; some creation.n.02 natural_object.n.01
