some group.n.01 egyptian.n.01, all egyptian.n.01 african.n.01: some group.n.01 african.n.01; no group.n.01 african.n.01
some piece.n.01 support.n.10, all support.n.10 device.n.01: some piece.n.01 device.n.01; no piece.n.01 device.n.01
some diplomat.n.01 statesman.n.01, all statesman.n.01 politician.n.02: some diplomat.n.01 politician.n.02; no diplomat.n.01 politician.n.02
some bishop.n.01 philosopher.n.01, all philosopher.n.01 scholar.n.01: some bishop.n.01 scholar.n.01; no bishop.n.01 scholar.n.01
some cement.n.03 filler.n.01, all filler.n.01 sealing_material.n.01: some cement.n.03 sealing_material.n.01; no cement.n.03 sealing_material.n.01
some catalyst.n.01 protein.n.01, all protein.n.01 macromolecule.n.01: some catalyst.n.01 macromolecule.n.01; no catalyst.n.01 macromolecule.n.01
some building.n.01 housing.n.01, all housing.n.01 structure.n.01: some building.n.01 structure.n.01; no building.n.01 structure.n.01
some artifact.n.01 mixture.n.01, all mixture.n.01 substance.n.01: some artifact.n.01 substance.n.01; no artifact.n.01 substance.n.01
some analgesic.n.01 salicylate.n.01, all salicylate.n.01 nonsteroidal_anti-inflammatory.n.01: some analgesic.n.01 nonsteroidal_anti-inflammatory.n.01; no analgesic.n.01 nonsteroidal_anti-inflammatory.n.01
some heresy.n.02 doctrine.n.01, all doctrine.n.01 belief.n.01: some heresy.n.02 belief.n.01; no heresy.n.02 belief.n.01
some aviator.n.01 producer.n.02, all producer.n.02 creator.n.02: some aviator.n.01 creator.n.02; no aviator.n.01 creator.n.02
some guitarist.n.01 singer.n.01, all singer.n.01 musician.n.01: some guitarist.n.01 musician.n.01; no guitarist.n.01 musician.n.01
some travel.v.01 drive.v.01, all drive.v.01 operate.v.03: some travel.v.01 operate.v.03; no travel.v.01 operate.v.03
some lever.n.01 cutter.n.06, all cutter.n.06 cutting_implement.n.01: some lever.n.01 cutting_implement.n.01; no lever.n.01 cutting_implement.n.01
some ambiguity.n.02 dishonesty.n.01, all dishonesty.n.01 unrighteousness.n.01: some ambiguity.n.02 unrighteousness.n.01; no ambiguity.n.02 unrighteousness.n.01
some deceiver.n.01 accomplice.n.01, all accomplice.n.01 assistant.n.01: some deceiver.n.01 assistant.n.01; no deceiver.n.01 assistant.n.01
some dissenter.n.01 writer.n.01, all writer.n.01 communicator.n.01: some dissenter.n.01 communicator.n.01; no dissenter.n.01 communicator.n.01
some pool.n.01 reservoir.n.03, all reservoir.n.03 tank.n.02: some pool.n.01 tank.n.02; no pool.n.01 tank.n.02
some composer.n.01 guitarist.n.01, all guitarist.n.01 musician.n.01: some composer.n.01 musician.n.01; no composer.n.01 musician.n.01
some actor.n.01 comedian.n.01, all comedian.n.01 performer.n.01: some actor.n.01 performer.n.01; no actor.n.01 performer.n.01
some worker.n.01 defender.n.01, all defender.n.01 preserver.n.03: some worker.n.01 preserver.n.03; no worker.n.01 preserver.n.03
some blind.n.03 furnishing.n.02, all furnishing.n.02 instrumentality.n.03: some blind.n.03 instrumentality.n.03; no blind.n.03 instrumentality.n.03
some revolutionist.n.01 poet.n.01, all poet.n.01 writer.n.01: some revolutionist.n.01 writer.n.01; no revolutionist.n.01 writer.n.01
some bonus.n.02 prize.n.01, all prize.n.01 gift.n.01: some bonus.n.02 gift.n.01; no bonus.n.02 gift.n.01
some compassion.n.01 love.n.01, all love.n.01 emotion.n.01: some compassion.n.01 emotion.n.01; no compassion.n.01 emotion.n.01
some disrespect.n.01 profanity.n.01, all profanity.n.01 utterance.n.01: some disrespect.n.01 utterance.n.01; no disrespect.n.01 utterance.n.01
some woman.n.01 nurse.n.01, all nurse.n.01 health_professional.n.01: some woman.n.01 health_professional.n.01; no woman.n.01 health_professional.n.01
some bishop.n.01 saint.n.01, all saint.n.01 deity.n.01: some bishop.n.01 deity.n.01; no bishop.n.01 deity.n.01
some protection.n.01 sport.n.01, all sport.n.01 diversion.n.01: some protection.n.01 diversion.n.01; no protection.n.01 diversion.n.01
some dramatist.n.01 novelist.n.01, all novelist.n.01 writer.n.01: some dramatist.n.01 writer.n.01; no dramatist.n.01 writer.n.01
some ending.n.04 failure.n.02, all failure.n.02 happening.n.01: some ending.n.04 happening.n.01; no ending.n.04 happening.n.01
some financier.n.01 diplomat.n.01, all diplomat.n.01 official.n.01: some financier.n.01 official.n.01; no financier.n.01 official.n.01
some applicator.n.01 brush.n.02, all brush.n.02 implement.n.01: some applicator.n.01 implement.n.01; no applicator.n.01 implement.n.01
some judge.n.01 politician.n.02, all politician.n.02 leader.n.01: some judge.n.01 leader.n.01; no judge.n.01 leader.n.01
some philosopher.n.01 poet.n.01, all poet.n.01 writer.n.01: some philosopher.n.01 writer.n.01; no philosopher.n.01 writer.n.01
some sport.n.02 wrestling.n.02, all wrestling.n.02 contact_sport.n.01: some sport.n.02 contact_sport.n.01; no sport.n.02 contact_sport.n.01
some agent.n.01 neurotransmitter.n.01, all neurotransmitter.n.01 neurochemical.n.01: some agent.n.01 neurochemical.n.01; no agent.n.01 neurochemical.n.01
some sensitivity.n.01 modality.n.03, all modality.n.03 sense.n.03: some sensitivity.n.01 sense.n.03; no sensitivity.n.01 sense.n.03
some sensitivity.n.04 eruption.n.02, all eruption.n.02 symptom.n.01: some sensitivity.n.04 symptom.n.01; no sensitivity.n.04 symptom.n.01
some composer.n.01 singer.n.01, all singer.n.01 musician.n.01: some composer.n.01 musician.n.01; no composer.n.01 musician.n.01
some grain.n.02 starches.n.01, all starches.n.01 foodstuff.n.02: some grain.n.02 foodstuff.n.02; no grain.n.02 foodstuff.n.02
some composer.n.01 organist.n.01, all organist.n.01 musician.n.01: some composer.n.01 musician.n.01; no composer.n.01 musician.n.01
some economist.n.01 humorist.n.01, all humorist.n.01 entertainer.n.01: some economist.n.01 entertainer.n.01; no economist.n.01 entertainer.n.01
some arrangement.n.02 decoration.n.01, all decoration.n.01 artifact.n.01: some arrangement.n.02 artifact.n.01; no arrangement.n.02 artifact.n.01
some container.n.01 crockery.n.01, all crockery.n.01 tableware.n.01: some container.n.01 tableware.n.01; no container.n.01 tableware.n.01
some manner.n.01 discipline.n.01, all discipline.n.01 knowledge_domain.n.01: some manner.n.01 knowledge_domain.n.01; no manner.n.01 knowledge_domain.n.01
some grave.n.02 chamber.n.01, all chamber.n.01 enclosure.n.01: some grave.n.02 enclosure.n.01; no grave.n.02 enclosure.n.01
some process.n.06 spread.n.01, all spread.n.01 change_of_location.n.01: some process.n.06 change_of_location.n.01; no process.n.06 change_of_location.n.01
some comedian.n.01 vaudevillian.n.01, all vaudevillian.n.01 performer.n.01: some comedian.n.01 performer.n.01; no comedian.n.01 performer.n.01
some movie.n.01 play.n.02, all play.n.02 show.n.03: some movie.n.01 show.n.03; no movie.n.01 show.n.03
some dictator.n.02 japanese.n.01, all japanese.n.01 asian.n.01: some dictator.n.02 asian.n.01; no dictator.n.02 asian.n.01
some gas.n.02 compound.n.02, all compound.n.02 chemical.n.01: some gas.n.02 chemical.n.01; no gas.n.02 chemical.n.01
some document.n.01 right.n.01, all right.n.01 abstraction.n.01: some document.n.01 abstraction.n.01; no document.n.01 abstraction.n.01
some pillar.n.01 pilgrimage.n.01, all pilgrimage.n.01 journey.n.01: some pillar.n.01 journey.n.01; no pillar.n.01 journey.n.01
some commodity.n.01 covering.n.02, all covering.n.02 artifact.n.01: some commodity.n.01 artifact.n.01; no commodity.n.01 artifact.n.01
some tool.n.01 lever.n.01, all lever.n.01 bar.n.03: some tool.n.01 bar.n.03; no tool.n.01 bar.n.03
some defender.n.01 martyr.n.02, all martyr.n.02 victim.n.01: some defender.n.01 victim.n.01; no defender.n.01 victim.n.01
some printer.n.01 writer.n.01, all writer.n.01 communicator.n.01: some printer.n.01 communicator.n.01; no printer.n.01 communicator.n.01
some city.n.01 capital.n.03, all capital.n.03 seat.n.05: some city.n.01 seat.n.05; no city.n.01 seat.n.05
some line.n.20 finish.n.04, all finish.n.04 end.n.01: some line.n.20 end.n.01; no line.n.20 end.n.01
some analysis.n.01 diagnosis.n.01, all diagnosis.n.01 designation.n.03: some analysis.n.01 designation.n.03; no analysis.n.01 designation.n.03
some supporter.n.01 southerner.n.01, all southerner.n.01 american.n.01: some supporter.n.01 american.n.01; no supporter.n.01 american.n.01
some region.n.03 island.n.01, all island.n.01 land.n.04: some region.n.03 land.n.04; no region.n.03 land.n.04
some measurement.n.01 analysis.n.01, all analysis.n.01 investigation.n.02: some measurement.n.01 investigation.n.02; no measurement.n.01 investigation.n.02
some enclosure.n.01 receptacle.n.01, all receptacle.n.01 container.n.01: some enclosure.n.01 container.n.01; no enclosure.n.01 container.n.01
some carbon.n.01 fuel.n.01, all fuel.n.01 substance.n.07: some carbon.n.01 substance.n.07; no carbon.n.01 substance.n.07
some leader.n.01 pamphleteer.n.01, all pamphleteer.n.01 writer.n.01: some leader.n.01 writer.n.01; no leader.n.01 writer.n.01
some lawgiver.n.01 politician.n.01, all politician.n.01 leader.n.01: some lawgiver.n.01 leader.n.01; no lawgiver.n.01 leader.n.01
some activity.n.01 change.n.03, all change.n.03 action.n.01: some activity.n.01 action.n.01; no activity.n.01 action.n.01
some drug.n.01 nitrate.n.01, all nitrate.n.01 compound.n.02: some drug.n.01 compound.n.02; no drug.n.01 compound.n.02
some agent.n.01 monoamine.n.01, all monoamine.n.01 amine.n.01: some agent.n.01 amine.n.01; no agent.n.01 amine.n.01
some show.n.03 dancing.n.01, all dancing.n.01 diversion.n.01: some show.n.03 diversion.n.01; no show.n.03 diversion.n.01
some economist.n.01 environmentalist.n.01, all environmentalist.n.01 reformer.n.01: some economist.n.01 reformer.n.01; no economist.n.01 reformer.n.01
some carolingian.n.01 emperor.n.01, all emperor.n.01 sovereign.n.01: some carolingian.n.01 sovereign.n.01; no carolingian.n.01 sovereign.n.01
some act.v.08 communicate.v.02, all communicate.v.02 interact.v.01: some act.v.08 interact.v.01; no act.v.08 interact.v.01
some dissociation.n.02 disorder.n.01, all disorder.n.01 physical_condition.n.01: some dissociation.n.02 physical_condition.n.01; no dissociation.n.02 physical_condition.n.01
some substance.n.01 gas.n.02, all gas.n.02 fluid.n.02: some substance.n.01 fluid.n.02; no substance.n.01 fluid.n.02
some inventor.n.01 photographer.n.01, all photographer.n.01 artist.n.01: some inventor.n.01 artist.n.01; no inventor.n.01 artist.n.01
some act.n.02 defamation.n.01, all defamation.n.01 disparagement.n.01: some act.n.02 disparagement.n.01; no act.n.02 disparagement.n.01
some angiosperm.n.01 wilding.n.01, all wilding.n.01 plant.n.02: some angiosperm.n.01 plant.n.02; no angiosperm.n.01 plant.n.02
some jew.n.01 historian.n.01, all historian.n.01 scholar.n.01: some jew.n.01 scholar.n.01; no jew.n.01 scholar.n.01
some gas.n.02 compound.n.02, all compound.n.02 chemical.n.01: some gas.n.02 chemical.n.01; no gas.n.02 chemical.n.01
some chemist.n.01 industrialist.n.01, all industrialist.n.01 businessman.n.01: some chemist.n.01 businessman.n.01; no chemist.n.01 businessman.n.01
some artist.n.01 ornithologist.n.01, all ornithologist.n.01 zoologist.n.01: some artist.n.01 zoologist.n.01; no artist.n.01 zoologist.n.01
some cardinal.n.01 soldier.n.01, all soldier.n.01 enlisted_person.n.01: some cardinal.n.01 enlisted_person.n.01; no cardinal.n.01 enlisted_person.n.01
some muslim.n.01 lady.n.01, all lady.n.01 woman.n.01: some muslim.n.01 woman.n.01; no muslim.n.01 woman.n.01
some mineral.n.01 softener.n.01, all softener.n.01 chemical.n.01: some mineral.n.01 chemical.n.01; no mineral.n.01 chemical.n.01
some blister.n.03 pimple.n.01, all pimple.n.01 acne.n.01: some blister.n.03 acne.n.01; no blister.n.03 acne.n.01
some head.n.04 woman.n.01, all woman.n.01 female.n.02: some head.n.04 female.n.02; no head.n.04 female.n.02
some accommodation.n.04 house.n.01, all house.n.01 building.n.01: some accommodation.n.04 building.n.01; no accommodation.n.04 building.n.01
some equipment.n.01 spear.n.01, all spear.n.01 weapon.n.01: some equipment.n.01 weapon.n.01; no equipment.n.01 weapon.n.01
some identification.n.02 badge.n.01, all badge.n.01 emblem.n.02: some identification.n.02 emblem.n.02; no identification.n.02 emblem.n.02
some operation.n.05 evacuation.n.02, all evacuation.n.02 withdrawal.n.03: some operation.n.05 withdrawal.n.03; no operation.n.05 withdrawal.n.03
some engineer.n.01 physicist.n.01, all physicist.n.01 scientist.n.01: some engineer.n.01 scientist.n.01; no engineer.n.01 scientist.n.01
some ablation.n.01 sterilization.n.01, all sterilization.n.01 operation.n.06: some ablation.n.01 operation.n.06; no ablation.n.01 operation.n.06
some headman.n.02 algonquian.n.01, all algonquian.n.01 indian.n.01: some headman.n.02 indian.n.01; no headman.n.02 indian.n.01
some player.n.01 collaborator.n.03, all collaborator.n.03 associate.n.01: some player.n.01 associate.n.01; no player.n.01 associate.n.01
some missionary.n.02 nun.n.01, all nun.n.01 religious.n.01: some missionary.n.02 religious.n.01; no missionary.n.02 religious.n.01
some imagination.n.01 ash.n.02, all ash.n.02 tree.n.01: some imagination.n.01 tree.n.01; no imagination.n.01 tree.n.01
some ailment.n.01 nausea.n.01, all nausea.n.01 symptom.n.01: some ailment.n.01 symptom.n.01; no ailment.n.01 symptom.n.01
some infection.n.01 infestation.n.01, all infestation.n.01 fullness.n.03: some infection.n.01 fullness.n.03; no infection.n.01 fullness.n.03
some melancholy.n.01 apprehension.n.01, all apprehension.n.01 fear.n.01: some melancholy.n.01 fear.n.01; no melancholy.n.01 fear.n.01
some racer.n.03 hound.n.01, all hound.n.01 hunting_dog.n.01: some racer.n.03 hunting_dog.n.01; no racer.n.03 hunting_dog.n.01
some politician.n.02 actress.n.01, all actress.n.01 actor.n.01: some politician.n.02 actor.n.01; no politician.n.02 actor.n.01
some denunciation.n.01 declamation.n.01, all declamation.n.01 oratory.n.01: some denunciation.n.01 oratory.n.01; no denunciation.n.01 oratory.n.01
some archeologist.n.01 historian.n.01, all historian.n.01 scholar.n.01: some archeologist.n.01 scholar.n.01; no archeologist.n.01 scholar.n.01
some enclosure.n.01 tank.n.02, all tank.n.02 vessel.n.03: some enclosure.n.01 vessel.n.03; no enclosure.n.01 vessel.n.03
some player.n.01 writer.n.01, all writer.n.01 communicator.n.01: some player.n.01 communicator.n.01; no player.n.01 communicator.n.01
some athlete.n.01 player.n.01, all player.n.01 contestant.n.01: some athlete.n.01 contestant.n.01; no athlete.n.01 contestant.n.01
some acknowledgment.n.03 list.n.01, all list.n.01 database.n.01: some acknowledgment.n.03 database.n.01; no acknowledgment.n.03 database.n.01
some reformer.n.01 politician.n.02, all politician.n.02 leader.n.01: some reformer.n.01 leader.n.01; no reformer.n.01 leader.n.01
some jazz.n.02 blues.n.01, all blues.n.01 folk_song.n.01: some jazz.n.02 folk_song.n.01; no jazz.n.02 folk_song.n.01
some cavity.n.04 solid.n.03, all solid.n.03 shape.n.02: some cavity.n.04 shape.n.02; no cavity.n.04 shape.n.02
some judge.n.01 mayor.n.01, all mayor.n.01 civil_authority.n.01: some judge.n.01 civil_authority.n.01; no judge.n.01 civil_authority.n.01
some cell.n.02 organism.n.01, all organism.n.01 living_thing.n.01: some cell.n.02 living_thing.n.01; no cell.n.02 living_thing.n.01
some bite.v.01 chew.v.01, all chew.v.01 grate.v.04: some bite.v.01 grate.v.04; no bite.v.01 grate.v.04
some gesture.n.02 reverence.n.03, all reverence.n.03 action.n.01: some gesture.n.02 action.n.01; no gesture.n.02 action.n.01
some anxiety.n.02 embarrassment.n.01, all embarrassment.n.01 shame.n.01: some anxiety.n.02 shame.n.01; no anxiety.n.02 shame.n.01
some toiletry.n.01 brush.n.02, all brush.n.02 implement.n.01: some toiletry.n.01 implement.n.01; no toiletry.n.01 implement.n.01
some creator.n.02 businessperson.n.01, all businessperson.n.01 capitalist.n.02: some creator.n.02 capitalist.n.02; no creator.n.02 capitalist.n.02
some unfortunate.n.01 wanderer.n.01, all wanderer.n.01 traveler.n.01: some unfortunate.n.01 traveler.n.01; no unfortunate.n.01 traveler.n.01
some biologist.n.01 surgeon.n.01, all surgeon.n.01 doctor.n.01: some biologist.n.01 doctor.n.01; no biologist.n.01 doctor.n.01
some general.n.01 statesman.n.01, all statesman.n.01 politician.n.02: some general.n.01 politician.n.02; no general.n.01 politician.n.02
some revolutionist.n.01 bolshevik.n.02, all bolshevik.n.02 communist.n.02: some revolutionist.n.01 communist.n.02; no revolutionist.n.01 communist.n.02
some painter.n.01 lithographer.n.01, all lithographer.n.01 printmaker.n.01: some painter.n.01 printmaker.n.01; no painter.n.01 printmaker.n.01
some polysaccharide.n.01 anticoagulant.n.01, all anticoagulant.n.01 medicine.n.02: some polysaccharide.n.01 medicine.n.02; no polysaccharide.n.01 medicine.n.02
some thing.n.12 continent.n.01, all continent.n.01 landmass.n.01: some thing.n.12 landmass.n.01; no thing.n.12 landmass.n.01
some communicator.n.01 employee.n.01, all employee.n.01 worker.n.01: some communicator.n.01 worker.n.01; no communicator.n.01 worker.n.01
some writer.n.01 caricaturist.n.01, all caricaturist.n.01 parodist.n.01: some writer.n.01 parodist.n.01; no writer.n.01 parodist.n.01
some smoothness.n.01 radiance.n.02, all radiance.n.02 brightness.n.01: some smoothness.n.01 brightness.n.01; no smoothness.n.01 brightness.n.01
some reformer.n.01 clergyman.n.01, all clergyman.n.01 spiritual_leader.n.01: some reformer.n.01 spiritual_leader.n.01; no reformer.n.01 spiritual_leader.n.01
some connection.n.03 conductor.n.04, all conductor.n.04 device.n.01: some connection.n.03 device.n.01; no connection.n.03 device.n.01
some defender.n.01 saint.n.01, all saint.n.01 deity.n.01: some defender.n.01 deity.n.01; no defender.n.01 deity.n.01
some drupe.n.01 nut.n.01, all nut.n.01 seed.n.01: some drupe.n.01 seed.n.01; no drupe.n.01 seed.n.01
some writer.n.01 statesman.n.01, all statesman.n.01 politician.n.02: some writer.n.01 politician.n.02; no writer.n.01 politician.n.02
some dancer.n.01 actress.n.01, all actress.n.01 actor.n.01: some dancer.n.01 actor.n.01; no dancer.n.01 actor.n.01
some satellite.n.01 craft.n.02, all craft.n.02 vehicle.n.01: some satellite.n.01 vehicle.n.01; no satellite.n.01 vehicle.n.01
some bullfighter.n.01 horseman.n.01, all horseman.n.01 rider.n.01: some bullfighter.n.01 rider.n.01; no bullfighter.n.01 rider.n.01
some wind.n.01 rain.n.01, all rain.n.01 precipitation.n.03: some wind.n.01 precipitation.n.03; no wind.n.01 precipitation.n.03
some line.n.01 line.n.03, all line.n.03 formation.n.01: some line.n.01 formation.n.01; no line.n.01 formation.n.01
some holder.n.02 customer.n.01, all customer.n.01 consumer.n.01: some holder.n.02 consumer.n.01; no holder.n.02 consumer.n.01
some advocate.n.01 salesperson.n.01, all salesperson.n.01 employee.n.01: some advocate.n.01 employee.n.01; no advocate.n.01 employee.n.01
some list.n.01 type.n.04, all type.n.04 character.n.08: some list.n.01 character.n.08; no list.n.01 character.n.08
some critic.n.01 painter.n.01, all painter.n.01 artist.n.01: some critic.n.01 artist.n.01; no critic.n.01 artist.n.01
some dramatist.n.01 pamphleteer.n.01, all pamphleteer.n.01 writer.n.01: some dramatist.n.01 writer.n.01; no dramatist.n.01 writer.n.01
some craftsman.n.03 poet.n.01, all poet.n.01 writer.n.01: some craftsman.n.03 writer.n.01; no craftsman.n.03 writer.n.01
some enthusiasm.n.01 joy.n.01, all joy.n.01 emotion.n.01: some enthusiasm.n.01 emotion.n.01; no enthusiasm.n.01 emotion.n.01
some philosopher.n.01 statesman.n.01, all statesman.n.01 politician.n.02: some philosopher.n.01 politician.n.02; no philosopher.n.01 politician.n.02
some rejection.n.01 cooperation.n.01, all cooperation.n.01 group_action.n.01: some rejection.n.01 group_action.n.01; no rejection.n.01 group_action.n.01
some corticosteroid.n.01 steroid.n.01, all steroid.n.01 organic_compound.n.01: some corticosteroid.n.01 organic_compound.n.01; no corticosteroid.n.01 organic_compound.n.01
some document.n.01 agreement.n.01, all agreement.n.01 statement.n.01: some document.n.01 statement.n.01; no document.n.01 statement.n.01
some merchant.n.01 distributor.n.01, all distributor.n.01 supplier.n.01: some merchant.n.01 supplier.n.01; no merchant.n.01 supplier.n.01
some defect.n.01 anomaly.n.01, all anomaly.n.01 abnormality.n.01: some defect.n.01 abnormality.n.01; no defect.n.01 abnormality.n.01
some pathology.n.02 sterility.n.02, all sterility.n.02 physical_condition.n.01: some pathology.n.02 physical_condition.n.01; no pathology.n.02 physical_condition.n.01
some party.n.05 recipient.n.01, all recipient.n.01 acquirer.n.01: some party.n.05 acquirer.n.01; no party.n.05 acquirer.n.01
