some-not layer.n.01 device.n.01, all brass.n.02 device.n.01: some-not layer.n.01 brass.n.02; all layer.n.01 brass.n.02
some-not group.n.01 instrumentality.n.03, all restraint.n.06 instrumentality.n.03: some-not group.n.01 restraint.n.06; all group.n.01 restraint.n.06
some-not activity.n.01 change.n.03, all locomotion.n.02 change.n.03: some-not activity.n.01 locomotion.n.02; all activity.n.01 locomotion.n.02
some-not serviceman.n.01 politician.n.02, all socialist.n.01 politician.n.02: some-not serviceman.n.01 socialist.n.01; all serviceman.n.01 socialist.n.01
some-not land.n.02 location.n.01, all european_country.n.01 location.n.01: some-not land.n.02 european_country.n.01; all land.n.02 european_country.n.01
some-not suffragist.n.01 doctor.n.01, all psychiatrist.n.01 doctor.n.01: some-not suffragist.n.01 psychiatrist.n.01; all suffragist.n.01 psychiatrist.n.01
some-not group.n.01 instrumentality.n.03, all peg.n.01 instrumentality.n.03: some-not group.n.01 peg.n.01; all group.n.01 peg.n.01
some-not machine.n.01 tool.n.01, all cutter.n.06 tool.n.01: some-not machine.n.01 cutter.n.06; all machine.n.01 cutter.n.06
some-not inhibitor.n.01 food.n.01, all margarine.n.01 food.n.01: some-not inhibitor.n.01 margarine.n.01; all inhibitor.n.01 margarine.n.01
some-not group.n.01 instrumentality.n.03, all container.n.01 instrumentality.n.03: some-not group.n.01 container.n.01; all group.n.01 container.n.01
some-not collection.n.01 act.n.02, all anointing.n.01 act.n.02: some-not collection.n.01 anointing.n.01; all collection.n.01 anointing.n.01
some-not liquid.n.03 compound.n.02, all hydrocarbon.n.01 compound.n.02: some-not liquid.n.03 hydrocarbon.n.01; all liquid.n.03 hydrocarbon.n.01
some-not container.n.01 area.n.05, all room.n.01 area.n.05: some-not container.n.01 room.n.01; all container.n.01 room.n.01
some-not component.n.03 instrumentality.n.03, all support.n.10 instrumentality.n.03: some-not component.n.03 support.n.10; all component.n.03 support.n.10
some-not collection.n.01 act.n.02, all listening.n.01 act.n.02: some-not collection.n.01 listening.n.01; all collection.n.01 listening.n.01
some-not agent.n.01 hormone.n.01, all corticosteroid.n.01 hormone.n.01: some-not agent.n.01 corticosteroid.n.01; all agent.n.01 corticosteroid.n.01
some-not part.n.02 artifact.n.01, all product.n.02 artifact.n.01: some-not part.n.02 product.n.02; all part.n.02 product.n.02
some-not matter.n.03 group.n.01, all taxonomic_group.n.01 group.n.01: some-not matter.n.03 taxonomic_group.n.01; all matter.n.03 taxonomic_group.n.01
some-not player.n.01 writer.n.01, all poetess.n.01 writer.n.01: some-not player.n.01 poetess.n.01; all player.n.01 poetess.n.01
some-not unit.n.05 chemical.n.01, all aldehyde.n.01 chemical.n.01: some-not unit.n.05 aldehyde.n.01; all unit.n.05 aldehyde.n.01
some-not gas.n.02 compound.n.02, all caustic.n.01 compound.n.02: some-not gas.n.02 caustic.n.01; all gas.n.02 caustic.n.01
some-not antioxidant.n.01 chemical.n.01, all lye.n.01 chemical.n.01: some-not antioxidant.n.01 lye.n.01; all antioxidant.n.01 lye.n.01
some-not object.n.01 attribute.n.02, all appearance.n.01 attribute.n.02: some-not object.n.01 appearance.n.01; all object.n.01 appearance.n.01
some-not object.n.01 attribute.n.02, all dimension.n.01 attribute.n.02: some-not object.n.01 dimension.n.01; all object.n.01 dimension.n.01
some-not manner.n.01 discipline.n.01, all neurobiology.n.01 discipline.n.01: some-not manner.n.01 neurobiology.n.01; all manner.n.01 neurobiology.n.01
some-not layer.n.01 device.n.01, all mechanism.n.05 device.n.01: some-not layer.n.01 mechanism.n.05; all layer.n.01 mechanism.n.05
some-not cell.n.02 organism.n.01, all male.n.01 organism.n.01: some-not cell.n.02 male.n.01; all cell.n.02 male.n.01
some-not object.n.01 attribute.n.02, all illness.n.01 attribute.n.02: some-not object.n.01 illness.n.01; all object.n.01 illness.n.01
some-not board.n.03 vehicle.n.01, all airplane.n.01 vehicle.n.01: some-not board.n.03 airplane.n.01; all board.n.03 airplane.n.01
some-not object.n.01 attribute.n.02, all melancholy.n.01 attribute.n.02: some-not object.n.01 melancholy.n.01; all object.n.01 melancholy.n.01
some-not component.n.03 instrumentality.n.03, all conveyance.n.03 instrumentality.n.03: some-not component.n.03 conveyance.n.03; all component.n.03 conveyance.n.03
some-not alarm.n.03 device.n.01, all instrument.n.01 device.n.01: some-not alarm.n.03 instrument.n.01; all alarm.n.03 instrument.n.01
some-not equipment.n.01 device.n.01, all instrument.n.01 device.n.01: some-not equipment.n.01 instrument.n.01; all equipment.n.01 instrument.n.01
some-not cell.n.02 organism.n.01, all placental.n.01 organism.n.01: some-not cell.n.02 placental.n.01; all cell.n.02 placental.n.01
some-not part.n.02 artifact.n.01, all lumber.n.01 artifact.n.01: some-not part.n.02 lumber.n.01; all part.n.02 lumber.n.01
some-not leader.n.01 scientist.n.01, all anthropologist.n.01 scientist.n.01: some-not leader.n.01 anthropologist.n.01; all leader.n.01 anthropologist.n.01
some-not change.v.01 change.v.02, all change_surface.v.01 change.v.02: some-not change.v.01 change_surface.v.01; all change.v.01 change_surface.v.01
some-not part.n.02 artifact.n.01, all stadium.n.01 artifact.n.01: some-not part.n.02 stadium.n.01; all part.n.02 stadium.n.01
some-not location.n.01 shape.n.02, all indentation.n.01 shape.n.02: some-not location.n.01 indentation.n.01; all location.n.01 indentation.n.01
some-not land.n.02 location.n.01, all area.n.01 location.n.01: some-not land.n.02 area.n.01; all land.n.02 area.n.01
some-not unit.n.05 chemical.n.01, all aliphatic_compound.n.01 chemical.n.01: some-not unit.n.05 aliphatic_compound.n.01; all unit.n.05 aliphatic_compound.n.01
some-not device.n.01 implement.n.01, all writing_implement.n.01 implement.n.01: some-not device.n.01 writing_implement.n.01; all device.n.01 writing_implement.n.01
some-not creator.n.02 businessperson.n.01, all owner.n.01 businessperson.n.01: some-not creator.n.02 owner.n.01; all creator.n.02 owner.n.01
some-not solvent.n.01 compound.n.02, all neurotransmitter.n.01 compound.n.02: some-not solvent.n.01 neurotransmitter.n.01; all solvent.n.01 neurotransmitter.n.01
some-not substance.n.01 food.n.01, all flavorer.n.01 food.n.01: some-not substance.n.01 flavorer.n.01; all substance.n.01 flavorer.n.01
some-not collection.n.01 act.n.02, all diagnosis.n.01 act.n.02: some-not collection.n.01 diagnosis.n.01; all collection.n.01 diagnosis.n.01
some-not beverage.n.01 drug.n.01, all anticoagulant.n.01 drug.n.01: some-not beverage.n.01 anticoagulant.n.01; all beverage.n.01 anticoagulant.n.01
some-not part.n.02 artifact.n.01, all vehicle.n.01 artifact.n.01: some-not part.n.02 vehicle.n.01; all part.n.02 vehicle.n.01
some-not part.n.02 artifact.n.01, all receptacle.n.01 artifact.n.01: some-not part.n.02 receptacle.n.01; all part.n.02 receptacle.n.01
some-not poison.n.01 compound.n.02, all ketone.n.01 compound.n.02: some-not poison.n.01 ketone.n.01; all poison.n.01 ketone.n.01
some-not group.n.01 instrumentality.n.03, all source_of_illumination.n.01 instrumentality.n.03: some-not group.n.01 source_of_illumination.n.01; all group.n.01 source_of_illumination.n.01
some-not worker.n.01 defender.n.01, all caretaker.n.01 defender.n.01: some-not worker.n.01 caretaker.n.01; all worker.n.01 caretaker.n.01
some-not leader.n.01 scientist.n.01, all social_scientist.n.01 scientist.n.01: some-not leader.n.01 social_scientist.n.01; all leader.n.01 social_scientist.n.01
some-not part.n.02 artifact.n.01, all clothing.n.01 artifact.n.01: some-not part.n.02 clothing.n.01; all part.n.02 clothing.n.01
some-not antioxidant.n.01 chemical.n.01, all steroid.n.01 chemical.n.01: some-not antioxidant.n.01 steroid.n.01; all antioxidant.n.01 steroid.n.01
some-not matter.n.03 group.n.01, all ordering.n.01 group.n.01: some-not matter.n.03 ordering.n.01; all matter.n.03 ordering.n.01
some-not object.n.01 attribute.n.02, all emotion.n.01 attribute.n.02: some-not object.n.01 emotion.n.01; all object.n.01 emotion.n.01
some-not fluid.n.02 chemical.n.01, all alkene.n.01 chemical.n.01: some-not fluid.n.02 alkene.n.01; all fluid.n.02 alkene.n.01
some-not component.n.03 instrumentality.n.03, all vehicle.n.01 instrumentality.n.03: some-not component.n.03 vehicle.n.01; all component.n.03 vehicle.n.01
some-not alarm.n.03 device.n.01, all weapon.n.01 device.n.01: some-not alarm.n.03 weapon.n.01; all alarm.n.03 weapon.n.01
some-not alarm.n.03 device.n.01, all restraint.n.06 device.n.01: some-not alarm.n.03 restraint.n.06; all alarm.n.03 restraint.n.06
some-not variety.n.03 plant.n.02, all tree.n.01 plant.n.02: some-not variety.n.03 tree.n.01; all variety.n.03 tree.n.01
some-not headman.n.02 indian.n.01, all algonquian.n.01 indian.n.01: some-not headman.n.02 algonquian.n.01; all headman.n.02 algonquian.n.01
some-not cell.n.02 organism.n.01, all angiosperm.n.01 organism.n.01: some-not cell.n.02 angiosperm.n.01; all cell.n.02 angiosperm.n.01
some-not liquid.n.03 compound.n.02, all peptide.n.01 compound.n.02: some-not liquid.n.03 peptide.n.01; all liquid.n.03 peptide.n.01
some-not object.n.01 part.n.03, all body_part.n.01 part.n.03: some-not object.n.01 body_part.n.01; all object.n.01 body_part.n.01
some-not unit.n.05 chemical.n.01, all neurotransmitter.n.01 chemical.n.01: some-not unit.n.05 neurotransmitter.n.01; all unit.n.05 neurotransmitter.n.01
some-not strip.n.02 instrumentality.n.03, all circle.n.08 instrumentality.n.03: some-not strip.n.02 circle.n.08; all strip.n.02 circle.n.08
some-not solvent.n.01 compound.n.02, all amine.n.01 compound.n.02: some-not solvent.n.01 amine.n.01; all solvent.n.01 amine.n.01
some-not part.n.02 artifact.n.01, all line.n.18 artifact.n.01: some-not part.n.02 line.n.18; all part.n.02 line.n.18
some-not clergyman.n.01 settler.n.01, all pioneer.n.02 settler.n.01: some-not clergyman.n.01 pioneer.n.02; all clergyman.n.01 pioneer.n.02
some-not part.n.02 artifact.n.01, all print_media.n.01 artifact.n.01: some-not part.n.02 print_media.n.01; all part.n.02 print_media.n.01
some-not object.n.01 part.n.03, all genitalia.n.01 part.n.03: some-not object.n.01 genitalia.n.01; all object.n.01 genitalia.n.01
some-not steering.n.02 travel.n.01, all pilgrimage.n.01 travel.n.01: some-not steering.n.02 pilgrimage.n.01; all steering.n.02 pilgrimage.n.01
some-not group.n.01 instrumentality.n.03, all conveyance.n.03 instrumentality.n.03: some-not group.n.01 conveyance.n.03; all group.n.01 conveyance.n.03
some-not religious.n.01 writer.n.01, all poet.n.01 writer.n.01: some-not religious.n.01 poet.n.01; all religious.n.01 poet.n.01
some-not puncture.n.03 procedure.n.01, all sterilization.n.01 procedure.n.01: some-not puncture.n.03 sterilization.n.01; all puncture.n.03 sterilization.n.01
some-not layer.n.01 device.n.01, all fastener.n.02 device.n.01: some-not layer.n.01 fastener.n.02; all layer.n.01 fastener.n.02
some-not container.n.01 vehicle.n.01, all aircraft.n.01 vehicle.n.01: some-not container.n.01 aircraft.n.01; all container.n.01 aircraft.n.01
some-not object.n.01 attribute.n.02, all feeling.n.01 attribute.n.02: some-not object.n.01 feeling.n.01; all object.n.01 feeling.n.01
some-not asian.n.01 european.n.01, all lesbian.n.02 european.n.01: some-not asian.n.01 lesbian.n.02; all asian.n.01 lesbian.n.02
some-not fluid.n.02 chemical.n.01, all polystyrene.n.01 chemical.n.01: some-not fluid.n.02 polystyrene.n.01; all fluid.n.02 polystyrene.n.01
some-not cell.n.02 organism.n.01, all young_mammal.n.01 organism.n.01: some-not cell.n.02 young_mammal.n.01; all cell.n.02 young_mammal.n.01
some-not lever.n.01 cutter.n.06, all knife.n.01 cutter.n.06: some-not lever.n.01 knife.n.01; all lever.n.01 knife.n.01
some-not agent.n.01 microorganism.n.01, all alga.n.01 microorganism.n.01: some-not agent.n.01 alga.n.01; all agent.n.01 alga.n.01
some-not feminist.n.01 writer.n.01, all poetess.n.01 writer.n.01: some-not feminist.n.01 poetess.n.01; all feminist.n.01 poetess.n.01
some-not collection.n.01 act.n.02, all questioning.n.01 act.n.02: some-not collection.n.01 questioning.n.01; all collection.n.01 questioning.n.01
some-not puncture.n.03 procedure.n.01, all medical_procedure.n.01 procedure.n.01: some-not puncture.n.03 medical_procedure.n.01; all puncture.n.03 medical_procedure.n.01
some-not component.n.03 instrumentality.n.03, all wheeled_vehicle.n.01 instrumentality.n.03: some-not component.n.03 wheeled_vehicle.n.01; all component.n.03 wheeled_vehicle.n.01
some-not collection.n.01 act.n.02, all journey.n.01 act.n.02: some-not collection.n.01 journey.n.01; all collection.n.01 journey.n.01
some-not case.n.06 unfortunate.n.01, all victim.n.01 unfortunate.n.01: some-not case.n.06 victim.n.01; all case.n.06 victim.n.01
some-not liquid.n.03 compound.n.02, all steroid.n.01 compound.n.02: some-not liquid.n.03 steroid.n.01; all liquid.n.03 steroid.n.01
some-not matter.n.03 part.n.01, all adjective.n.01 part.n.01: some-not matter.n.03 adjective.n.01; all matter.n.03 adjective.n.01
some-not fluid.n.02 chemical.n.01, all organic.n.01 chemical.n.01: some-not fluid.n.02 organic.n.01; all fluid.n.02 organic.n.01
some-not hardware.n.03 device.n.01, all musical_instrument.n.01 device.n.01: some-not hardware.n.03 musical_instrument.n.01; all hardware.n.03 musical_instrument.n.01
some-not part.n.02 artifact.n.01, all system.n.01 artifact.n.01: some-not part.n.02 system.n.01; all part.n.02 system.n.01
some-not molecule.n.01 compound.n.02, all resin.n.01 compound.n.02: some-not molecule.n.01 resin.n.01; all molecule.n.01 resin.n.01
some-not molecule.n.01 compound.n.02, all hydrocarbon.n.01 compound.n.02: some-not molecule.n.01 hydrocarbon.n.01; all molecule.n.01 hydrocarbon.n.01
some-not agent.n.03 fluid.n.01, all alcohol.n.02 fluid.n.01: some-not agent.n.03 alcohol.n.02; all agent.n.03 alcohol.n.02
some-not object.n.01 attribute.n.02, all shame.n.01 attribute.n.02: some-not object.n.01 shame.n.01; all object.n.01 shame.n.01
some-not alarm.n.03 device.n.01, all machine.n.04 device.n.01: some-not alarm.n.03 machine.n.04; all alarm.n.03 machine.n.04
some-not part.n.02 artifact.n.01, all coil.n.06 artifact.n.01: some-not part.n.02 coil.n.06; all part.n.02 coil.n.06
some-not part.n.02 artifact.n.01, all brewery.n.01 artifact.n.01: some-not part.n.02 brewery.n.01; all part.n.02 brewery.n.01
some-not lawyer.n.01 representative.n.01, all spy.n.01 representative.n.01: some-not lawyer.n.01 spy.n.01; all lawyer.n.01 spy.n.01
some-not equipment.n.01 device.n.01, all source_of_illumination.n.01 device.n.01: some-not equipment.n.01 source_of_illumination.n.01; all equipment.n.01 source_of_illumination.n.01
some-not dissenter.n.01 writer.n.01, all poetess.n.01 writer.n.01: some-not dissenter.n.01 poetess.n.01; all dissenter.n.01 poetess.n.01
some-not fluid.n.02 chemical.n.01, all aliphatic_compound.n.01 chemical.n.01: some-not fluid.n.02 aliphatic_compound.n.01; all fluid.n.02 aliphatic_compound.n.01
some-not collection.n.01 act.n.02, all wrongdoing.n.02 act.n.02: some-not collection.n.01 wrongdoing.n.02; all collection.n.01 wrongdoing.n.02
some-not scientist.n.01 scholar.n.01, all existentialist.n.01 scholar.n.01: some-not scientist.n.01 existentialist.n.01; all scientist.n.01 existentialist.n.01
some-not land.n.02 location.n.01, all finish.n.04 location.n.01: some-not land.n.02 finish.n.04; all land.n.02 finish.n.04
some-not whole.n.02 tissue.n.01, all animal_tissue.n.01 tissue.n.01: some-not whole.n.02 animal_tissue.n.01; all whole.n.02 animal_tissue.n.01
some-not part.n.02 artifact.n.01, all pill.n.01 artifact.n.01: some-not part.n.02 pill.n.01; all part.n.02 pill.n.01
some-not part.n.02 artifact.n.01, all machine.n.01 artifact.n.01: some-not part.n.02 machine.n.01; all part.n.02 machine.n.01
some-not object.n.01 attribute.n.02, all disorder.n.01 attribute.n.02: some-not object.n.01 disorder.n.01; all object.n.01 disorder.n.01
some-not leader.n.01 scientist.n.01, all sociologist.n.01 scientist.n.01: some-not leader.n.01 sociologist.n.01; all leader.n.01 sociologist.n.01
some-not group.n.01 instrumentality.n.03, all machine.n.04 instrumentality.n.03: some-not group.n.01 machine.n.04; all group.n.01 machine.n.04
some-not matter.n.03 part.n.01, all word.n.01 part.n.01: some-not matter.n.03 word.n.01; all matter.n.03 word.n.01
some-not measure.n.02 property.n.02, all magnitude.n.01 property.n.02: some-not measure.n.02 magnitude.n.01; all measure.n.02 magnitude.n.01
some-not liquid.n.03 compound.n.02, all synthetic_resin.n.01 compound.n.02: some-not liquid.n.03 synthetic_resin.n.01; all liquid.n.03 synthetic_resin.n.01
some-not gas.n.02 compound.n.02, all neurotransmitter.n.01 compound.n.02: some-not gas.n.02 neurotransmitter.n.01; all gas.n.02 neurotransmitter.n.01
some-not deity.n.01 scholar.n.01, all humanist.n.01 scholar.n.01: some-not deity.n.01 humanist.n.01; all deity.n.01 humanist.n.01
some-not hardware.n.03 device.n.01, all weapon.n.01 device.n.01: some-not hardware.n.03 weapon.n.01; all hardware.n.03 weapon.n.01
some-not cell.n.02 organism.n.01, all ash.n.02 organism.n.01: some-not cell.n.02 ash.n.02; all cell.n.02 ash.n.02
some-not structure.n.04 organ.n.01, all reproductive_organ.n.01 organ.n.01: some-not structure.n.04 reproductive_organ.n.01; all structure.n.04 reproductive_organ.n.01
some-not collection.n.01 act.n.02, all departure.n.01 act.n.02: some-not collection.n.01 departure.n.01; all collection.n.01 departure.n.01
some-not gas.n.02 compound.n.02, all organic_compound.n.01 compound.n.02: some-not gas.n.02 organic_compound.n.01; all gas.n.02 organic_compound.n.01
some-not matter.n.03 group.n.01, all movement.n.04 group.n.01: some-not matter.n.03 movement.n.04; all matter.n.03 movement.n.04
some-not fluid.n.02 chemical.n.01, all chert.n.01 chemical.n.01: some-not fluid.n.02 chert.n.01; all fluid.n.02 chert.n.01
some-not layer.n.01 device.n.01, all weapon.n.01 device.n.01: some-not layer.n.01 weapon.n.01; all layer.n.01 weapon.n.01
some-not layer.n.01 device.n.01, all recording.n.03 device.n.01: some-not layer.n.01 recording.n.03; all layer.n.01 recording.n.03
some-not poison.n.01 compound.n.02, all chert.n.01 compound.n.02: some-not poison.n.01 chert.n.01; all poison.n.01 chert.n.01
some-not immunodeficiency.n.01 disease.n.01, all pimple.n.01 disease.n.01: some-not immunodeficiency.n.01 pimple.n.01; all immunodeficiency.n.01 pimple.n.01
some-not death.n.01 mishap.n.02, all mutilation.n.01 mishap.n.02: some-not death.n.01 mutilation.n.01; all death.n.01 mutilation.n.01
some-not game.n.04 bird.n.01, all aquatic_bird.n.01 bird.n.01: some-not game.n.04 aquatic_bird.n.01; all game.n.04 aquatic_bird.n.01
some-not poison.n.01 compound.n.02, all amide.n.01 compound.n.02: some-not poison.n.01 amide.n.01; all poison.n.01 amide.n.01
some-not producer.n.02 writer.n.01, all poetess.n.01 writer.n.01: some-not producer.n.02 poetess.n.01; all producer.n.02 poetess.n.01
some-not part.n.02 artifact.n.01, all place_of_business.n.01 artifact.n.01: some-not part.n.02 place_of_business.n.01; all part.n.02 place_of_business.n.01
some-not strip.n.02 instrumentality.n.03, all recording.n.03 instrumentality.n.03: some-not strip.n.02 recording.n.03; all strip.n.02 recording.n.03
some-not activity.n.01 change.n.03, all improvement.n.02 change.n.03: some-not activity.n.01 improvement.n.02; all activity.n.01 improvement.n.02
some-not solvent.n.01 compound.n.02, all aldehyde.n.01 compound.n.02: some-not solvent.n.01 aldehyde.n.01; all solvent.n.01 aldehyde.n.01
some-not collection.n.01 act.n.02, all occupation.n.01 act.n.02: some-not collection.n.01 occupation.n.01; all collection.n.01 occupation.n.01
some-not component.n.03 instrumentality.n.03, all utensil.n.01 instrumentality.n.03: some-not component.n.03 utensil.n.01; all component.n.03 utensil.n.01
some-not fluid.n.02 chemical.n.01, all synthetic_resin.n.01 chemical.n.01: some-not fluid.n.02 synthetic_resin.n.01; all fluid.n.02 synthetic_resin.n.01
some-not agent.n.01 sedative.n.01, all sedative-hypnotic.n.01 sedative.n.01: some-not agent.n.01 sedative-hypnotic.n.01; all agent.n.01 sedative-hypnotic.n.01
some-not hardware.n.03 device.n.01, all mechanism.n.05 device.n.01: some-not hardware.n.03 mechanism.n.05; all hardware.n.03 mechanism.n.05
some-not message.n.02 idea.n.01, all right.n.01 idea.n.01: some-not message.n.02 right.n.01; all message.n.02 right.n.01
some-not object.n.01 attribute.n.02, all restraint.n.02 attribute.n.02: some-not object.n.01 restraint.n.02; all object.n.01 restraint.n.02
some-not cell.n.02 organism.n.01, all game.n.04 organism.n.01: some-not cell.n.02 game.n.04; all cell.n.02 game.n.04
some-not fluid.n.02 chemical.n.01, all compound.n.02 chemical.n.01: some-not fluid.n.02 compound.n.02; all fluid.n.02 compound.n.02
some-not negligence.n.01 wrongdoing.n.02, all falsification.n.03 wrongdoing.n.02: some-not negligence.n.01 falsification.n.03; all negligence.n.01 falsification.n.03
some-not manner.n.01 discipline.n.01, all paleontology.n.01 discipline.n.01: some-not manner.n.01 paleontology.n.01; all manner.n.01 paleontology.n.01
some-not commodity.n.01 property.n.01, all estate.n.02 property.n.01: some-not commodity.n.01 estate.n.02; all commodity.n.01 estate.n.02
some-not cavity.n.04 solid.n.03, all cylinder.n.01 solid.n.03: some-not cavity.n.04 cylinder.n.01; all cavity.n.04 cylinder.n.01
some-not commodity.n.01 covering.n.02, all blind.n.03 covering.n.02: some-not commodity.n.01 blind.n.03; all commodity.n.01 blind.n.03
some-not group.n.01 instrumentality.n.03, all machine.n.01 instrumentality.n.03: some-not group.n.01 machine.n.01; all group.n.01 machine.n.01
some-not fluid.n.02 chemical.n.01, all compound.n.02 chemical.n.01: some-not fluid.n.02 compound.n.02; all fluid.n.02 compound.n.02
some-not substance.n.01 food.n.01, all ingredient.n.03 food.n.01: some-not substance.n.01 ingredient.n.03; all substance.n.01 ingredient.n.03
some-not educator.n.01 musician.n.02, all bandmaster.n.01 musician.n.02: some-not educator.n.01 bandmaster.n.01; all educator.n.01 bandmaster.n.01
some-not fluid.n.02 chemical.n.01, all resin.n.01 chemical.n.01: some-not fluid.n.02 resin.n.01; all fluid.n.02 resin.n.01
some-not matter.n.03 group.n.01, all force.n.04 group.n.01: some-not matter.n.03 force.n.04; all matter.n.03 force.n.04
some-not object.n.01 attribute.n.02, all energy.n.04 attribute.n.02: some-not object.n.01 energy.n.04; all object.n.01 energy.n.04
some-not strip.n.02 instrumentality.n.03, all musical_instrument.n.01 instrumentality.n.03: some-not strip.n.02 musical_instrument.n.01; all strip.n.02 musical_instrument.n.01
some-not equipment.n.01 device.n.01, all mechanism.n.05 device.n.01: some-not equipment.n.01 mechanism.n.05; all equipment.n.01 mechanism.n.05
some-not material.n.01 drug.n.01, all medicine.n.02 drug.n.01: some-not material.n.01 medicine.n.02; all material.n.01 medicine.n.02
some-not collection.n.01 act.n.02, all falsification.n.03 act.n.02: some-not collection.n.01 falsification.n.03; all collection.n.01 falsification.n.03
some-not antioxidant.n.01 chemical.n.01, all synthetic_resin.n.01 chemical.n.01: some-not antioxidant.n.01 synthetic_resin.n.01; all antioxidant.n.01 synthetic_resin.n.01
some-not strip.n.02 instrumentality.n.03, all instrument.n.01 instrumentality.n.03: some-not strip.n.02 instrument.n.01; all strip.n.02 instrument.n.01
some-not solvent.n.01 compound.n.02, all hydrocarbon.n.01 compound.n.02: some-not solvent.n.01 hydrocarbon.n.01; all solvent.n.01 hydrocarbon.n.01
some-not group.n.01 instrumentality.n.03, all vessel.n.03 instrumentality.n.03: some-not group.n.01 vessel.n.03; all group.n.01 vessel.n.03
some-not group.n.01 instrumentality.n.03, all control.n.09 instrumentality.n.03: some-not group.n.01 control.n.09; all group.n.01 control.n.09
some-not linguist.n.01 writer.n.01, all poetess.n.01 writer.n.01: some-not linguist.n.01 poetess.n.01; all linguist.n.01 poetess.n.01
some-not cell.n.02 organism.n.01, all vascular_plant.n.01 organism.n.01: some-not cell.n.02 vascular_plant.n.01; all cell.n.02 vascular_plant.n.01
some-not cell.n.02 organism.n.01, all plant.n.02 organism.n.01: some-not cell.n.02 plant.n.02; all cell.n.02 plant.n.02
some-not poison.n.01 compound.n.02, all neurotransmitter.n.01 compound.n.02: some-not poison.n.01 neurotransmitter.n.01; all poison.n.01 neurotransmitter.n.01
some-not molecule.n.01 compound.n.02, all ester.n.01 compound.n.02: some-not molecule.n.01 ester.n.01; all molecule.n.01 ester.n.01
some-not scientist.n.01 doctor.n.01, all neurologist.n.01 doctor.n.01: some-not scientist.n.01 neurologist.n.01; all scientist.n.01 neurologist.n.01
