all space.n.01 attribute.n.02, all attribute.n.02 entity.n.01: all space.n.01 entity.n.01; some-not space.n.01 entity.n.01
all whole.n.02 object.n.01, all object.n.01 physical_entity.n.01: all whole.n.02 physical_entity.n.01; some-not whole.n.02 physical_entity.n.01
all protoctist.n.01 microorganism.n.01, all microorganism.n.01 entity.n.01: all protoctist.n.01 entity.n.01; some-not protoctist.n.01 entity.n.01
all whole.n.02 object.n.01, all object.n.01 physical_entity.n.01: all whole.n.02 physical_entity.n.01; some-not whole.n.02 physical_entity.n.01
all headman.n.02 person.n.01, all person.n.01 physical_entity.n.01: all headman.n.02 physical_entity.n.01; some-not headman.n.02 physical_entity.n.01
all protein.n.01 macromolecule.n.01, all macromolecule.n.01 entity.n.01: all protein.n.01 entity.n.01; some-not protein.n.01 entity.n.01
all horseman.n.01 traveler.n.01, all traveler.n.01 person.n.01: all horseman.n.01 person.n.01; some-not horseman.n.01 person.n.01
all professional.n.01 adult.n.01, all adult.n.01 physical_entity.n.01: all professional.n.01 physical_entity.n.01; some-not professional.n.01 physical_entity.n.01
all softener.n.01 substance.n.01, all substance.n.01 entity.n.01: all softener.n.01 entity.n.01; some-not softener.n.01 entity.n.01
all bovine.n.01 vertebrate.n.01, all vertebrate.n.01 physical_entity.n.01: all bovine.n.01 physical_entity.n.01; some-not bovine.n.01 physical_entity.n.01
all ending.n.01 morpheme.n.01, all morpheme.n.01 entity.n.01: all ending.n.01 entity.n.01; some-not ending.n.01 entity.n.01
all organization.n.01 group.n.01, all group.n.01 abstraction.n.06: all organization.n.01 abstraction.n.06; some-not organization.n.01 abstraction.n.06
all astronomer.n.01 person.n.01, all person.n.01 physical_entity.n.01: all astronomer.n.01 physical_entity.n.01; some-not astronomer.n.01 physical_entity.n.01
all dyscrasia.n.01 ill_health.n.01, all ill_health.n.01 abstraction.n.06: all dyscrasia.n.01 abstraction.n.06; some-not dyscrasia.n.01 abstraction.n.06
all angiosperm.n.01 vascular_plant.n.01, all vascular_plant.n.01 physical_entity.n.01: all angiosperm.n.01 physical_entity.n.01; some-not angiosperm.n.01 physical_entity.n.01
all time_period.n.01 measure.n.02, all measure.n.02 entity.n.01: all time_period.n.01 entity.n.01; some-not time_period.n.01 entity.n.01
all arrange.v.01 put.v.01, all put.v.01 move.v.02: all arrange.v.01 move.v.02; some-not arrange.v.01 move.v.02
all genitor.n.01 relative.n.01, all relative.n.01 entity.n.01: all genitor.n.01 entity.n.01; some-not genitor.n.01 entity.n.01
all object.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all object.n.01 entity.n.01; some-not object.n.01 entity.n.01
all vascular_plant.n.01 plant.n.02, all plant.n.02 organism.n.01: all vascular_plant.n.01 organism.n.01; some-not vascular_plant.n.01 organism.n.01
all advocate.n.01 person.n.01, all person.n.01 physical_entity.n.01: all advocate.n.01 physical_entity.n.01; some-not advocate.n.01 physical_entity.n.01
all plant_part.n.01 natural_object.n.01, all natural_object.n.01 object.n.01: all plant_part.n.01 object.n.01; some-not plant_part.n.01 object.n.01
all thrower.n.02 person.n.01, all person.n.01 entity.n.01: all thrower.n.02 entity.n.01; some-not thrower.n.02 entity.n.01
all region.n.03 location.n.01, all location.n.01 object.n.01: all region.n.03 object.n.01; some-not region.n.03 object.n.01
all religious.n.01 religious_person.n.01, all religious_person.n.01 person.n.01: all religious.n.01 person.n.01; some-not religious.n.01 person.n.01
all medical_practitioner.n.01 adult.n.01, all adult.n.01 person.n.01: all medical_practitioner.n.01 person.n.01; some-not medical_practitioner.n.01 person.n.01
all styrene.n.01 compound.n.02, all compound.n.02 chemical.n.01: all styrene.n.01 chemical.n.01; some-not styrene.n.01 chemical.n.01
all motto.n.01 saying.n.01, all saying.n.01 speech.n.02: all motto.n.01 speech.n.02; some-not motto.n.01 speech.n.02
all line.n.03 arrangement.n.02, all arrangement.n.02 entity.n.01: all line.n.03 entity.n.01; some-not line.n.03 entity.n.01
all area.n.05 structure.n.01, all structure.n.01 artifact.n.01: all area.n.05 artifact.n.01; some-not area.n.05 artifact.n.01
all success.n.01 event.n.01, all event.n.01 psychological_feature.n.01: all success.n.01 psychological_feature.n.01; some-not success.n.01 psychological_feature.n.01
all reservoir.n.03 tank.n.02, all tank.n.02 physical_entity.n.01: all reservoir.n.03 physical_entity.n.01; some-not reservoir.n.03 physical_entity.n.01
all collaborator.n.03 associate.n.01, all associate.n.01 person.n.01: all collaborator.n.03 person.n.01; some-not collaborator.n.03 person.n.01
all status.n.01 state.n.02, all state.n.02 entity.n.01: all status.n.01 entity.n.01; some-not status.n.01 entity.n.01
all comedienne.n.02 comedian.n.01, all comedian.n.01 person.n.01: all comedienne.n.02 person.n.01; some-not comedienne.n.02 person.n.01
all object.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all object.n.01 entity.n.01; some-not object.n.01 entity.n.01
all religious_person.n.01 person.n.01, all person.n.01 physical_entity.n.01: all religious_person.n.01 physical_entity.n.01; some-not religious_person.n.01 physical_entity.n.01
all libertine.n.01 bad_person.n.01, all bad_person.n.01 physical_entity.n.01: all libertine.n.01 physical_entity.n.01; some-not libertine.n.01 physical_entity.n.01
all algonquian.n.01 amerindian.n.01, all amerindian.n.01 person.n.01: all algonquian.n.01 person.n.01; some-not algonquian.n.01 person.n.01
all artifact.n.01 whole.n.02, all whole.n.02 physical_entity.n.01: all artifact.n.01 physical_entity.n.01; some-not artifact.n.01 physical_entity.n.01
all falsification.n.03 dishonesty.n.02, all dishonesty.n.02 wrongdoing.n.02: all falsification.n.03 wrongdoing.n.02; some-not falsification.n.03 wrongdoing.n.02
all onondaga.n.01 iroquois.n.01, all iroquois.n.01 person.n.01: all onondaga.n.01 person.n.01; some-not onondaga.n.01 person.n.01
all ritual.n.02 activity.n.01, all activity.n.01 event.n.01: all ritual.n.02 event.n.01; some-not ritual.n.02 event.n.01
all matter.n.03 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all matter.n.03 entity.n.01; some-not matter.n.03 entity.n.01
all relation.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: all relation.n.01 entity.n.01; some-not relation.n.01 entity.n.01
all businessperson.n.01 person.n.01, all person.n.01 physical_entity.n.01: all businessperson.n.01 physical_entity.n.01; some-not businessperson.n.01 physical_entity.n.01
all act.n.02 abstraction.n.06, all abstraction.n.06 entity.n.01: all act.n.02 entity.n.01; some-not act.n.02 entity.n.01
all parent.n.01 relative.n.01, all relative.n.01 entity.n.01: all parent.n.01 entity.n.01; some-not parent.n.01 entity.n.01
all ester.n.01 chemical.n.01, all chemical.n.01 material.n.01: all ester.n.01 material.n.01; some-not ester.n.01 material.n.01
all deceiver.n.01 bad_person.n.01, all bad_person.n.01 person.n.01: all deceiver.n.01 person.n.01; some-not deceiver.n.01 person.n.01
all act.n.02 abstraction.n.06, all abstraction.n.06 entity.n.01: all act.n.02 entity.n.01; some-not act.n.02 entity.n.01
all part.n.02 object.n.01, all object.n.01 physical_entity.n.01: all part.n.02 physical_entity.n.01; some-not part.n.02 physical_entity.n.01
all signal.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: all signal.n.01 entity.n.01; some-not signal.n.01 entity.n.01
all adult.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all adult.n.01 entity.n.01; some-not adult.n.01 entity.n.01
all juvenile.n.01 person.n.01, all person.n.01 physical_entity.n.01: all juvenile.n.01 physical_entity.n.01; some-not juvenile.n.01 physical_entity.n.01
all device.n.01 artifact.n.01, all artifact.n.01 whole.n.02: all device.n.01 whole.n.02; some-not device.n.01 whole.n.02
all wrong.v.01 treat.v.01, all treat.v.01 act.v.01: all wrong.v.01 act.v.01; some-not wrong.v.01 act.v.01
all creator.n.02 person.n.01, all person.n.01 physical_entity.n.01: all creator.n.02 physical_entity.n.01; some-not creator.n.02 physical_entity.n.01
all body_substance.n.01 substance.n.01, all substance.n.01 entity.n.01: all body_substance.n.01 entity.n.01; some-not body_substance.n.01 entity.n.01
all social_scientist.n.01 person.n.01, all person.n.01 physical_entity.n.01: all social_scientist.n.01 physical_entity.n.01; some-not social_scientist.n.01 physical_entity.n.01
all coach.n.01 person.n.01, all person.n.01 entity.n.01: all coach.n.01 entity.n.01; some-not coach.n.01 entity.n.01
all temperature.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: all temperature.n.01 entity.n.01; some-not temperature.n.01 entity.n.01
all building.n.01 artifact.n.01, all artifact.n.01 object.n.01: all building.n.01 object.n.01; some-not building.n.01 object.n.01
all odd-toed_ungulate.n.01 animal.n.01, all animal.n.01 entity.n.01: all odd-toed_ungulate.n.01 entity.n.01; some-not odd-toed_ungulate.n.01 entity.n.01
all product.n.02 object.n.01, all object.n.01 physical_entity.n.01: all product.n.02 physical_entity.n.01; some-not product.n.02 physical_entity.n.01
all rejection.n.01 event.n.01, all event.n.01 psychological_feature.n.01: all rejection.n.01 psychological_feature.n.01; some-not rejection.n.01 psychological_feature.n.01
all stadium.n.01 whole.n.02, all whole.n.02 entity.n.01: all stadium.n.01 entity.n.01; some-not stadium.n.01 entity.n.01
all copyist.n.01 employee.n.01, all employee.n.01 worker.n.01: all copyist.n.01 worker.n.01; some-not copyist.n.01 worker.n.01
all vesicle.n.01 cavity.n.04, all cavity.n.04 body_part.n.01: all vesicle.n.01 body_part.n.01; some-not vesicle.n.01 body_part.n.01
all algonquian.n.01 person.n.01, all person.n.01 physical_entity.n.01: all algonquian.n.01 physical_entity.n.01; some-not algonquian.n.01 physical_entity.n.01
all accessory.n.01 clothing.n.01, all clothing.n.01 artifact.n.01: all accessory.n.01 artifact.n.01; some-not accessory.n.01 artifact.n.01
all cylinder.n.01 attribute.n.02, all attribute.n.02 abstraction.n.06: all cylinder.n.01 abstraction.n.06; some-not cylinder.n.01 abstraction.n.06
all carbon.n.01 chemical_element.n.01, all chemical_element.n.01 entity.n.01: all carbon.n.01 entity.n.01; some-not carbon.n.01 entity.n.01
all aquarium.n.01 object.n.01, all object.n.01 physical_entity.n.01: all aquarium.n.01 physical_entity.n.01; some-not aquarium.n.01 physical_entity.n.01
all activity.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: all activity.n.01 entity.n.01; some-not activity.n.01 entity.n.01
all part.n.03 thing.n.12, all thing.n.12 entity.n.01: all part.n.03 entity.n.01; some-not part.n.03 entity.n.01
all priest.n.02 spiritual_leader.n.01, all spiritual_leader.n.01 leader.n.01: all priest.n.02 leader.n.01; some-not priest.n.02 leader.n.01
all lawyer.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all lawyer.n.01 entity.n.01; some-not lawyer.n.01 entity.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all person.n.01 entity.n.01; some-not person.n.01 entity.n.01
all male.n.02 person.n.01, all person.n.01 entity.n.01: all male.n.02 entity.n.01; some-not male.n.02 entity.n.01
all act.n.02 abstraction.n.06, all abstraction.n.06 entity.n.01: all act.n.02 entity.n.01; some-not act.n.02 entity.n.01
all fight.n.02 group_action.n.01, all group_action.n.01 psychological_feature.n.01: all fight.n.02 psychological_feature.n.01; some-not fight.n.02 psychological_feature.n.01
all writer.n.01 communicator.n.01, all communicator.n.01 physical_entity.n.01: all writer.n.01 physical_entity.n.01; some-not writer.n.01 physical_entity.n.01
all spiritual_leader.n.01 person.n.01, all person.n.01 entity.n.01: all spiritual_leader.n.01 entity.n.01; some-not spiritual_leader.n.01 entity.n.01
all entertainer.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all entertainer.n.01 entity.n.01; some-not entertainer.n.01 entity.n.01
all judge.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all judge.n.01 entity.n.01; some-not judge.n.01 entity.n.01
all change_of_location.n.01 happening.n.01, all happening.n.01 event.n.01: all change_of_location.n.01 event.n.01; some-not change_of_location.n.01 event.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all person.n.01 entity.n.01; some-not person.n.01 entity.n.01
all artifact.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all artifact.n.01 entity.n.01; some-not artifact.n.01 entity.n.01
all psychological_feature.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: all psychological_feature.n.01 entity.n.01; some-not psychological_feature.n.01 entity.n.01
all emblem.n.02 representational_process.n.01, all representational_process.n.01 psychological_feature.n.01: all emblem.n.02 psychological_feature.n.01; some-not emblem.n.02 psychological_feature.n.01
all manufacturer.n.02 maker.n.01, all maker.n.01 physical_entity.n.01: all manufacturer.n.02 physical_entity.n.01; some-not manufacturer.n.02 physical_entity.n.01
all clothing.n.01 whole.n.02, all whole.n.02 entity.n.01: all clothing.n.01 entity.n.01; some-not clothing.n.01 entity.n.01
all conveyance.n.03 artifact.n.01, all artifact.n.01 physical_entity.n.01: all conveyance.n.03 physical_entity.n.01; some-not conveyance.n.03 physical_entity.n.01
all attribute.n.02 abstraction.n.06, all abstraction.n.06 entity.n.01: all attribute.n.02 entity.n.01; some-not attribute.n.02 entity.n.01
all soil.n.02 substance.n.01, all substance.n.01 entity.n.01: all soil.n.02 entity.n.01; some-not soil.n.02 entity.n.01
all connection.n.03 artifact.n.01, all artifact.n.01 whole.n.02: all connection.n.03 whole.n.02; some-not connection.n.03 whole.n.02
all container.n.01 instrumentality.n.03, all instrumentality.n.03 object.n.01: all container.n.01 object.n.01; some-not container.n.01 object.n.01
all feeling.n.01 state.n.02, all state.n.02 entity.n.01: all feeling.n.01 entity.n.01; some-not feeling.n.01 entity.n.01
all geographical_area.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all geographical_area.n.01 entity.n.01; some-not geographical_area.n.01 entity.n.01
all container.n.01 object.n.01, all object.n.01 physical_entity.n.01: all container.n.01 physical_entity.n.01; some-not container.n.01 physical_entity.n.01
all order.n.12 taxonomic_group.n.01, all taxonomic_group.n.01 abstraction.n.06: all order.n.12 abstraction.n.06; some-not order.n.12 abstraction.n.06
all jail.n.01 institution.n.02, all institution.n.02 artifact.n.01: all jail.n.01 artifact.n.01; some-not jail.n.01 artifact.n.01
all particle.n.02 whole.n.02, all whole.n.02 object.n.01: all particle.n.02 object.n.01; some-not particle.n.02 object.n.01
all matter.n.03 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all matter.n.03 entity.n.01; some-not matter.n.03 entity.n.01
all artist.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all artist.n.01 entity.n.01; some-not artist.n.01 entity.n.01
all poet.n.01 writer.n.01, all writer.n.01 entity.n.01: all poet.n.01 entity.n.01; some-not poet.n.01 entity.n.01
all body_covering.n.01 object.n.01, all object.n.01 physical_entity.n.01: all body_covering.n.01 physical_entity.n.01; some-not body_covering.n.01 physical_entity.n.01
all mark.n.04 communication.n.02, all communication.n.02 entity.n.01: all mark.n.04 entity.n.01; some-not mark.n.04 entity.n.01
all inhibitor.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all inhibitor.n.01 entity.n.01; some-not inhibitor.n.01 entity.n.01
all fortress.n.01 structure.n.01, all structure.n.01 entity.n.01: all fortress.n.01 entity.n.01; some-not fortress.n.01 entity.n.01
all point.n.02 object.n.01, all object.n.01 physical_entity.n.01: all point.n.02 physical_entity.n.01; some-not point.n.02 physical_entity.n.01
all change_of_state.n.01 psychological_feature.n.01, all psychological_feature.n.01 abstraction.n.06: all change_of_state.n.01 abstraction.n.06; some-not change_of_state.n.01 abstraction.n.06
all investigation.n.02 work.n.01, all work.n.01 activity.n.01: all investigation.n.02 activity.n.01; some-not investigation.n.02 activity.n.01
all state.n.02 abstraction.n.06, all abstraction.n.06 entity.n.01: all state.n.02 entity.n.01; some-not state.n.02 entity.n.01
all control.n.05 psychological_feature.n.01, all psychological_feature.n.01 abstraction.n.06: all control.n.05 abstraction.n.06; some-not control.n.05 abstraction.n.06
all supervisor.n.01 person.n.01, all person.n.01 physical_entity.n.01: all supervisor.n.01 physical_entity.n.01; some-not supervisor.n.01 physical_entity.n.01
all coil.n.06 device.n.01, all device.n.01 object.n.01: all coil.n.06 object.n.01; some-not coil.n.06 object.n.01
all anxiety.n.02 feeling.n.01, all feeling.n.01 entity.n.01: all anxiety.n.02 entity.n.01; some-not anxiety.n.02 entity.n.01
all knowledge_domain.n.01 cognition.n.01, all cognition.n.01 entity.n.01: all knowledge_domain.n.01 entity.n.01; some-not knowledge_domain.n.01 entity.n.01
all anomaly.n.01 condition.n.01, all condition.n.01 abstraction.n.06: all anomaly.n.01 abstraction.n.06; some-not anomaly.n.01 abstraction.n.06
all hormone.n.01 body_substance.n.01, all body_substance.n.01 substance.n.01: all hormone.n.01 substance.n.01; some-not hormone.n.01 substance.n.01
all pathological_state.n.01 condition.n.01, all condition.n.01 entity.n.01: all pathological_state.n.01 entity.n.01; some-not pathological_state.n.01 entity.n.01
all asian.n.01 person.n.01, all person.n.01 entity.n.01: all asian.n.01 entity.n.01; some-not asian.n.01 entity.n.01
all traveler.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all traveler.n.01 entity.n.01; some-not traveler.n.01 entity.n.01
all implement.n.01 instrumentality.n.03, all instrumentality.n.03 entity.n.01: all implement.n.01 entity.n.01; some-not implement.n.01 entity.n.01
all pictorial_representation.n.01 event.n.01, all event.n.01 abstraction.n.06: all pictorial_representation.n.01 abstraction.n.06; some-not pictorial_representation.n.01 abstraction.n.06
all virtue.n.04 good.n.02, all good.n.02 attribute.n.02: all virtue.n.04 attribute.n.02; some-not virtue.n.04 attribute.n.02
all defect.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: all defect.n.01 entity.n.01; some-not defect.n.01 entity.n.01
all nazi.n.01 fascist.n.01, all fascist.n.01 conservative.n.01: all nazi.n.01 conservative.n.01; some-not nazi.n.01 conservative.n.01
all capitalist.n.02 person.n.01, all person.n.01 entity.n.01: all capitalist.n.02 entity.n.01; some-not capitalist.n.02 entity.n.01
all polysaccharide.n.01 macromolecule.n.01, all macromolecule.n.01 entity.n.01: all polysaccharide.n.01 entity.n.01; some-not polysaccharide.n.01 entity.n.01
all physical_phenomenon.n.01 process.n.06, all process.n.06 physical_entity.n.01: all physical_phenomenon.n.01 physical_entity.n.01; some-not physical_phenomenon.n.01 physical_entity.n.01
all preserver.n.03 person.n.01, all person.n.01 physical_entity.n.01: all preserver.n.03 physical_entity.n.01; some-not preserver.n.03 physical_entity.n.01
all physical_condition.n.01 state.n.02, all state.n.02 attribute.n.02: all physical_condition.n.01 attribute.n.02; some-not physical_condition.n.01 attribute.n.02
all artifact.n.01 object.n.01, all object.n.01 physical_entity.n.01: all artifact.n.01 physical_entity.n.01; some-not artifact.n.01 physical_entity.n.01
all reproductive_structure.n.01 natural_object.n.01, all natural_object.n.01 entity.n.01: all reproductive_structure.n.01 entity.n.01; some-not reproductive_structure.n.01 entity.n.01
all organism.n.01 object.n.01, all object.n.01 physical_entity.n.01: all organism.n.01 physical_entity.n.01; some-not organism.n.01 physical_entity.n.01
all compiler.n.01 writer.n.01, all writer.n.01 entity.n.01: all compiler.n.01 entity.n.01; some-not compiler.n.01 entity.n.01
all christian.n.01 person.n.01, all person.n.01 physical_entity.n.01: all christian.n.01 physical_entity.n.01; some-not christian.n.01 physical_entity.n.01
all whole.n.02 object.n.01, all object.n.01 physical_entity.n.01: all whole.n.02 physical_entity.n.01; some-not whole.n.02 physical_entity.n.01
all wrongdoing.n.02 activity.n.01, all activity.n.01 psychological_feature.n.01: all wrongdoing.n.02 psychological_feature.n.01; some-not wrongdoing.n.02 psychological_feature.n.01
all act.n.02 psychological_feature.n.01, all psychological_feature.n.01 abstraction.n.06: all act.n.02 abstraction.n.06; some-not act.n.02 abstraction.n.06
all design.n.04 decoration.n.01, all decoration.n.01 physical_entity.n.01: all design.n.04 physical_entity.n.01; some-not design.n.04 physical_entity.n.01
all ending.n.04 psychological_feature.n.01, all psychological_feature.n.01 entity.n.01: all ending.n.04 entity.n.01; some-not ending.n.04 entity.n.01
all shop.n.01 place_of_business.n.01, all place_of_business.n.01 establishment.n.04: all shop.n.01 establishment.n.04; some-not shop.n.01 establishment.n.04
all linguist.n.01 scientist.n.01, all scientist.n.01 person.n.01: all linguist.n.01 person.n.01; some-not linguist.n.01 person.n.01
all heresy.n.02 cognition.n.01, all cognition.n.01 psychological_feature.n.01: all heresy.n.02 psychological_feature.n.01; some-not heresy.n.02 psychological_feature.n.01
all politician.n.01 leader.n.01, all leader.n.01 entity.n.01: all politician.n.01 entity.n.01; some-not politician.n.01 entity.n.01
all social_group.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: all social_group.n.01 entity.n.01; some-not social_group.n.01 entity.n.01
all antibody.n.01 macromolecule.n.01, all macromolecule.n.01 entity.n.01: all antibody.n.01 entity.n.01; some-not antibody.n.01 entity.n.01
all mayor.n.01 person.n.01, all person.n.01 entity.n.01: all mayor.n.01 entity.n.01; some-not mayor.n.01 entity.n.01
all break.v.02 change_integrity.v.01, all change_integrity.v.01 change.v.02: all break.v.02 change.v.02; some-not break.v.02 change.v.02
all object.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all object.n.01 entity.n.01; some-not object.n.01 entity.n.01
all representation.n.01 content.n.05, all content.n.05 entity.n.01: all representation.n.01 entity.n.01; some-not representation.n.01 entity.n.01
all trouser.n.01 artifact.n.01, all artifact.n.01 whole.n.02: all trouser.n.01 whole.n.02; some-not trouser.n.01 whole.n.02
all craftsman.n.03 skilled_worker.n.01, all skilled_worker.n.01 physical_entity.n.01: all craftsman.n.03 physical_entity.n.01; some-not craftsman.n.03 physical_entity.n.01
all communicator.n.01 person.n.01, all person.n.01 entity.n.01: all communicator.n.01 entity.n.01; some-not communicator.n.01 entity.n.01
all courtier.n.01 worker.n.01, all worker.n.01 person.n.01: all courtier.n.01 person.n.01; some-not courtier.n.01 person.n.01
all compound.n.02 material.n.01, all material.n.01 entity.n.01: all compound.n.02 entity.n.01; some-not compound.n.02 entity.n.01
all spouse.n.01 person.n.01, all person.n.01 entity.n.01: all spouse.n.01 entity.n.01; some-not spouse.n.01 entity.n.01
all athenian.n.01 person.n.01, all person.n.01 entity.n.01: all athenian.n.01 entity.n.01; some-not athenian.n.01 entity.n.01
all prose.n.01 communication.n.02, all communication.n.02 abstraction.n.06: all prose.n.01 abstraction.n.06; some-not prose.n.01 abstraction.n.06
all object.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all object.n.01 entity.n.01; some-not object.n.01 entity.n.01
all structure.n.04 body_part.n.01, all body_part.n.01 thing.n.12: all structure.n.04 thing.n.12; some-not structure.n.04 thing.n.12
all creator.n.02 person.n.01, all person.n.01 entity.n.01: all creator.n.02 entity.n.01; some-not creator.n.02 entity.n.01
all series.n.01 ordering.n.01, all ordering.n.01 group.n.01: all series.n.01 group.n.01; some-not series.n.01 group.n.01
all pigment.n.01 coloring_material.n.01, all coloring_material.n.01 substance.n.01: all pigment.n.01 substance.n.01; some-not pigment.n.01 substance.n.01
all land.n.04 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all land.n.04 entity.n.01; some-not land.n.04 entity.n.01
all reformer.n.01 disputant.n.01, all disputant.n.01 person.n.01: all reformer.n.01 person.n.01; some-not reformer.n.01 person.n.01
all attribute.n.02 abstraction.n.06, all abstraction.n.06 entity.n.01: all attribute.n.02 entity.n.01; some-not attribute.n.02 entity.n.01
all currency.n.01 measure.n.02, all measure.n.02 entity.n.01: all currency.n.01 entity.n.01; some-not currency.n.01 entity.n.01
all process.n.06 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all process.n.06 entity.n.01; some-not process.n.06 entity.n.01
all profanity.n.01 auditory_communication.n.01, all auditory_communication.n.01 abstraction.n.06: all profanity.n.01 abstraction.n.06; some-not profanity.n.01 abstraction.n.06
all worker.n.01 person.n.01, all person.n.01 physical_entity.n.01: all worker.n.01 physical_entity.n.01; some-not worker.n.01 physical_entity.n.01
all vehicle.n.01 instrumentality.n.03, all instrumentality.n.03 whole.n.02: all vehicle.n.01 whole.n.02; some-not vehicle.n.01 whole.n.02
all state.n.02 attribute.n.02, all attribute.n.02 entity.n.01: all state.n.02 entity.n.01; some-not state.n.02 entity.n.01
all lender.n.01 person.n.01, all person.n.01 physical_entity.n.01: all lender.n.01 physical_entity.n.01; some-not lender.n.01 physical_entity.n.01
all psychological_feature.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: all psychological_feature.n.01 entity.n.01; some-not psychological_feature.n.01 entity.n.01
all dislike.n.02 attribute.n.02, all attribute.n.02 entity.n.01: all dislike.n.02 entity.n.01; some-not dislike.n.02 entity.n.01
all fiber.n.03 cell.n.02, all cell.n.02 whole.n.02: all fiber.n.03 whole.n.02; some-not fiber.n.03 whole.n.02
all educator.n.01 person.n.01, all person.n.01 entity.n.01: all educator.n.01 entity.n.01; some-not educator.n.01 entity.n.01
all creator.n.02 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all creator.n.02 entity.n.01; some-not creator.n.02 entity.n.01
all activity.n.01 act.n.02, all act.n.02 entity.n.01: all activity.n.01 entity.n.01; some-not activity.n.01 entity.n.01
all head.n.04 person.n.01, all person.n.01 entity.n.01: all head.n.04 entity.n.01; some-not head.n.04 entity.n.01
all pin.n.09 artifact.n.01, all artifact.n.01 object.n.01: all pin.n.09 object.n.01; some-not pin.n.09 object.n.01
